chr_name	start	end	val
chr15	35000000	39999999	0.035656
chr15	50000000	54999999	0.140731
chr15	55000000	59999999	0.093326
chr15	65000000	69999999	0.116611
chr15	75000000	79999999	0.036988
chr15	90000000	94999999	0.146845
chr15	95000000	99999999	0.050051
chr15	100000000	104999999	0.290614
chr16	30000000	34999999	0.030295
chr16	50000000	54999999	0.151772
chr16	60000000	64999999	0.125126
chr17	45000000	49999999	0.072803
chr18	20000000	24999999	0.236411
chr18	25000000	29999999	0.15849
chr18	30000000	34999999	0.231344
chr18	35000000	39999999	0.259774
chr18	40000000	44999999	0.096712
chr18	45000000	49999999	0.042529
chr18	60000000	64999999	0.081154
chr18	65000000	69999999	0.051204
chr18	70000000	74999999	0.025154
chr19	0	4999999	0.088214
chr19	5000000	9999999	0.031081
chr19	15000000	19999999	0.003496
chr19	20000000	24999999	0.676641
chr19	45000000	49999999	0.035407
chr19	60000000	64999999	0.068848
chr20	10000000	14999999	0.271058
chr20	15000000	19999999	0.103387
chr20	20000000	24999999	0.062757
chr20	50000000	54999999	0.004302
chr20	55000000	59999999	0.027915
chr21	10000000	14999999	0.081266
chr21	15000000	19999999	0.142374
chr21	20000000	24999999	0.080445
chr21	25000000	29999999	0.042282
chr22	45000000	49999999	0.018495
chrX	10000000	14999999	0.339356
chrX	15000000	19999999	0.110288
chrX	20000000	24999999	0.259945
chrX	25000000	29999999	0.295213
chrX	30000000	34999999	0.241662
chrX	35000000	39999999	0.296888
chrX	45000000	49999999	0.092521
chrX	50000000	54999999	0.237169
chrX	55000000	59999999	0.473954
chrX	60000000	64999999	0.400579
chrX	65000000	69999999	0.447925
chrX	70000000	74999999	0.261993
chrX	75000000	79999999	0.281912
chrX	80000000	84999999	0.392545
chrX	85000000	89999999	0.362504
chrX	90000000	94999999	0.361781
chrX	95000000	99999999	0.524297
chrX	100000000	104999999	0.295934
chrX	105000000	109999999	0.464731
chrX	110000000	114999999	0.343236
chrX	115000000	119999999	0.152588
chrX	120000000	124999999	0.386297
chrX	125000000	129999999	0.377613
chrX	130000000	134999999	0.208889
chrX	135000000	139999999	0.370873
chrX	140000000	144999999	0.230952
chrX	145000000	149999999	0.377557
chrX	150000000	154999999	0.181897
chrY	5000000	9999999	0.031316
chrY	10000000	14999999	0.066598
chrY	55000000	59999999	0.644468
chr1	0	4999999	-0.455033
chr1	5000000	9999999	-0.465549
chr1	10000000	14999999	-0.359985
chr1	15000000	19999999	-0.34386
chr1	20000000	24999999	-0.363782
chr1	25000000	29999999	-0.400896
chr1	30000000	34999999	-0.154363
chr1	35000000	39999999	-0.122774
chr1	40000000	44999999	-0.046821
chr1	50000000	54999999	-0.113029
chr1	65000000	69999999	-0.00657
chr1	90000000	94999999	-0.031386
chr1	120000000	124999999	-0.02436
chr1	145000000	149999999	-0.231238
chr1	200000000	204999999	-0.266508
chr1	210000000	214999999	-0.033249
chr1	220000000	224999999	-0.248996
chr1	225000000	229999999	-0.229485
chr1	230000000	234999999	-0.172159
chr1	235000000	239999999	-0.059945
chr1	240000000	244999999	-0.173164
chr1	245000000	249999999	-0.216653
chr2	5000000	9999999	-0.095444
chr2	10000000	14999999	-0.02081
chr2	25000000	29999999	-0.129111
chr2	30000000	34999999	-0.061344
chr2	35000000	39999999	-0.021796
chr2	40000000	44999999	-0.02831
chr2	45000000	49999999	-0.013114
chr2	60000000	64999999	-0.05537
chr2	70000000	74999999	-0.063127
chr2	85000000	89999999	-0.175387
chr2	90000000	94999999	-0.150323
chr2	95000000	99999999	-0.077111
chr2	100000000	104999999	-0.037582
chr2	105000000	109999999	-0.134865
chr2	110000000	114999999	-0.062095
chr2	120000000	124999999	-0.04383
chr2	125000000	129999999	-0.128402
chr2	130000000	134999999	-0.040468
chr2	170000000	174999999	-0.020563
chr2	200000000	204999999	-0.133047
chr2	225000000	229999999	-0.005616
chr2	230000000	234999999	-0.217513
chr2	235000000	239999999	-0.261351
chr3	5000000	9999999	-0.054912
chr3	10000000	14999999	-0.217959
chr3	20000000	24999999	-0.039959
chr3	25000000	29999999	-0.023381
chr3	30000000	34999999	-0.029102
chr3	35000000	39999999	-0.00048
chr3	55000000	59999999	-0.0291
chr3	125000000	129999999	-0.182221
chr3	150000000	154999999	-0.01933
chr3	170000000	174999999	-0.046508
chr3	175000000	179999999	-0.011072
chr3	180000000	184999999	-0.047349
chr3	185000000	189999999	-0.158422
chr3	190000000	194999999	-0.007016
chr3	195000000	199999999	-0.465566
chr4	0	4999999	-0.391678
chr4	25000000	29999999	-0.002378
chr4	35000000	39999999	-0.141253
chr4	40000000	44999999	-0.02625
chr4	75000000	79999999	-0.046524
chr4	80000000	84999999	-0.00032
chr4	85000000	89999999	-0.032373
chr4	90000000	94999999	-0.021742
chr4	140000000	144999999	-0.024194
chr4	145000000	149999999	-0.013269
chr4	150000000	154999999	-0.006855
chr4	160000000	164999999	-0.045875
chr4	185000000	189999999	-0.141921
chr5	5000000	9999999	-0.09562
chr5	10000000	14999999	-0.071814
chr5	15000000	19999999	-0.100621
chr5	30000000	34999999	-0.03576
chr5	70000000	74999999	-0.052762
chr5	75000000	79999999	-0.077392
chr5	130000000	134999999	-0.08302
chr5	135000000	139999999	-0.032343
chr5	145000000	149999999	-0.00072
chr5	150000000	154999999	-0.019759
chr5	155000000	159999999	-0.018435
chr5	170000000	174999999	-0.060585
chr5	175000000	179999999	-0.2981
chr5	180000000	184999999	-0.225988
chr6	0	4999999	-0.16412
chr6	10000000	14999999	-0.104014
chr6	15000000	19999999	-0.114442
chr6	20000000	24999999	-0.033006
chr6	35000000	39999999	-0.09545
chr6	40000000	44999999	-0.084641
chr6	105000000	109999999	-0.095477
chr6	110000000	114999999	-0.041452
chr6	130000000	134999999	-0.046641
chr6	135000000	139999999	-0.077023
chr6	150000000	154999999	-0.116742
chr6	155000000	159999999	-0.157688
chr6	160000000	164999999	-0.127443
chr6	165000000	169999999	-0.277345
chr7	0	4999999	-0.443452
chr7	5000000	9999999	-0.173855
chr7	20000000	24999999	-0.042255
chr7	35000000	39999999	-0.014409
chr7	45000000	49999999	-0.190433
chr7	55000000	59999999	-0.484515
chr7	60000000	64999999	-0.432936
chr7	70000000	74999999	-0.637495
chr7	75000000	79999999	-0.094759
chr7	95000000	99999999	-0.159521
chr7	100000000	104999999	-0.351466
chr7	125000000	129999999	-0.011432
chr7	130000000	134999999	-0.05988
chr7	135000000	139999999	-0.156166
chr7	145000000	149999999	-0.131272
chr7	150000000	154999999	-0.293824
chr7	155000000	159999999	-0.36391
chr8	0	4999999	-0.351893
chr8	5000000	9999999	-0.305585
chr8	10000000	14999999	-0.142048
chr8	15000000	19999999	-0.101024
chr8	25000000	29999999	-0.202392
chr8	30000000	34999999	-0.110706
chr8	35000000	39999999	-0.134881
chr8	40000000	44999999	-0.430231
chr8	45000000	49999999	-0.162237
chr8	55000000	59999999	-0.058269
chr8	80000000	84999999	-0.026486
chr8	100000000	104999999	-0.052368
chr8	125000000	129999999	-0.016378
chr9	35000000	39999999	-0.057582
chr9	70000000	74999999	-0.061809
chr9	75000000	79999999	-0.009521
chr9	85000000	89999999	-0.105457
chr9	90000000	94999999	-0.278881
chr9	95000000	99999999	-0.191263
chr9	105000000	109999999	-0.003862
chr9	110000000	114999999	-0.149236
chr9	120000000	124999999	-0.023453
chr9	125000000	129999999	-0.160313
chr9	130000000	134999999	-0.443513
chr9	135000000	139999999	-0.418402
chr10	0	4999999	-0.304442
chr10	5000000	9999999	-0.165386
chr10	10000000	14999999	-0.353511
chr10	15000000	19999999	-0.291288
chr10	20000000	24999999	-0.191155
chr10	25000000	29999999	-0.284746
chr10	30000000	34999999	-0.257543
chr10	35000000	39999999	-0.153755
chr10	55000000	59999999	-0.049867
chr10	60000000	64999999	-0.026697
chr10	70000000	74999999	-0.282234
chr10	85000000	89999999	-0.055036
chr10	95000000	99999999	-0.09621
chr10	100000000	104999999	-0.082292
chr10	110000000	114999999	-0.007758
chr10	115000000	119999999	-0.008792
chr10	120000000	124999999	-0.041344
chr10	125000000	129999999	-0.0662
chr11	45000000	49999999	-0.118784
chr11	60000000	64999999	-0.238793
chr11	65000000	69999999	-0.304353
chr11	70000000	74999999	-0.108352
chr11	75000000	79999999	-0.008318
chr11	105000000	109999999	-0.012385
chr11	115000000	119999999	-0.007767
chr12	0	4999999	-0.2186
chr12	5000000	9999999	-0.174662
chr12	10000000	14999999	-0.097018
chr12	20000000	24999999	-0.002282
chr12	25000000	29999999	-0.104054
chr12	45000000	49999999	-0.132461
chr12	50000000	54999999	-0.093813
chr12	60000000	64999999	-0.023528
chr12	65000000	69999999	-0.041797
chr12	90000000	94999999	-0.1164
chr12	95000000	99999999	-0.003223
chr12	100000000	104999999	-0.037475
chr12	105000000	109999999	-0.193972
chr12	115000000	119999999	-0.32091
chr12	120000000	124999999	-0.441856
chr13	15000000	19999999	-0.421173
chr13	20000000	24999999	-0.234083
chr13	25000000	29999999	-0.125725
chr13	30000000	34999999	-0.036967
chr13	40000000	44999999	-0.096964
chr13	45000000	49999999	-0.077599
chr13	90000000	94999999	-0.025865
chr13	95000000	99999999	-0.088549
chr13	105000000	109999999	-0.053328
chr14	30000000	34999999	-0.127697
chr14	45000000	49999999	-0.000602
chr14	50000000	54999999	-0.043185
chr14	55000000	59999999	-0.001103
chr14	60000000	64999999	-0.048725
chr14	70000000	74999999	-0.23155
chr14	75000000	79999999	-0.033331
chr14	85000000	89999999	-0.040811
chr14	90000000	94999999	-0.220638
chr14	100000000	104999999	-0.430433
chr15	20000000	24999999	-0.176845
chr15	25000000	29999999	-0.160494
chr15	40000000	44999999	-0.081125
chr15	45000000	49999999	-0.006801
chr15	60000000	64999999	-0.210708
chr15	70000000	74999999	-0.091932
chr15	80000000	84999999	-0.047122
chr15	85000000	89999999	-0.061506
chr16	0	4999999	-0.579861
chr16	5000000	9999999	-0.231021
chr16	10000000	14999999	-0.481248
chr16	15000000	19999999	-0.396275
chr16	20000000	24999999	-0.409476
chr16	25000000	29999999	-0.443382
chr16	45000000	49999999	-0.123468
chr16	55000000	59999999	-0.100126
chr16	65000000	69999999	-0.364874
chr16	70000000	74999999	-0.176331
chr16	75000000	79999999	-0.056605
chr16	80000000	84999999	-0.166315
chr16	85000000	89999999	-0.438182
chr17	0	4999999	-0.577938
chr17	5000000	9999999	-0.35806
chr17	10000000	14999999	-0.085448
chr17	15000000	19999999	-0.393191
chr17	20000000	24999999	-0.260318
chr17	25000000	29999999	-0.169598
chr17	30000000	34999999	-0.272111
chr17	35000000	39999999	-0.248309
chr17	40000000	44999999	-0.332516
chr17	50000000	54999999	-0.048505
chr17	55000000	59999999	-0.296914
chr17	60000000	64999999	-0.339181
chr17	65000000	69999999	-0.080854
chr17	70000000	74999999	-0.517071
chr17	75000000	79999999	-0.568579
chr18	0	4999999	-0.039689
chr18	5000000	9999999	-0.109889
chr18	10000000	14999999	-0.308321
chr18	15000000	19999999	-0.201725
chr18	50000000	54999999	-0.008463
chr18	55000000	59999999	-0.046425
chr18	75000000	79999999	-0.384184
chr19	10000000	14999999	-0.485552
chr19	30000000	34999999	-0.281871
chr19	35000000	39999999	-0.27249
chr19	40000000	44999999	-0.374992
chr19	50000000	54999999	-0.455551
chr19	55000000	59999999	-0.394297
chr20	0	4999999	-0.130718
chr20	5000000	9999999	-0.03932
chr20	25000000	29999999	-0.240152
chr20	30000000	34999999	-0.382061
chr20	35000000	39999999	-0.014329
chr20	40000000	44999999	-0.030478
chr20	45000000	49999999	-0.318194
chr20	60000000	64999999	-0.54387
chr21	5000000	9999999	-0.182811
chr21	30000000	34999999	-0.217259
chr21	35000000	39999999	-0.118329
chr21	40000000	44999999	-0.342289
chr21	45000000	49999999	-0.423818
chr22	15000000	19999999	-0.496732
chr22	20000000	24999999	-0.3533
chr22	25000000	29999999	-0.17064
chr22	30000000	34999999	-0.248653
chr22	35000000	39999999	-0.411396
chr22	40000000	44999999	-0.436893
chrX	5000000	9999999	-0.243172
chrX	40000000	44999999	-0.054874
chrY	0	4999999	-0.237404
chrY	15000000	19999999	-0.549003
chrY	20000000	24999999	-0.327276
chrY	25000000	29999999	-0.303468
