chr_name	start	end	band_color	band
chr10	45500000	48600000	gpos25	q11.22
chr10	48600000	51100000	gneg	q11.23
chr10	51100000	59400000	gpos100	q21.1
chr10	59400000	62800000	gneg	q21.2
chr10	62800000	68800000	gpos100	q21.3
chr10	68800000	73100000	gneg	q22.1
chr10	73100000	75900000	gpos50	q22.2
chr10	75900000	80300000	gneg	q22.3
chr10	80300000	86100000	gpos100	q23.1
chr10	86100000	87700000	gneg	q23.2
chr10	87700000	91100000	gpos75	q23.31
chr10	91100000	92300000	gneg	q23.32
chr10	92300000	95300000	gpos50	q23.33
chr10	95300000	97500000	gneg	q24.1
chr10	97500000	100100000	gpos50	q24.2
chr10	100100000	101200000	gneg	q24.31
chr10	101200000	103100000	gpos25	q24.32
chr10	103100000	104000000	gneg	q24.33
chr10	104000000	110100000	gpos100	q25.1
chr10	110100000	113100000	gneg	q25.2
chr10	113100000	117300000	gpos75	q25.3
chr10	117300000	119900000	gneg	q26.11
chr10	119900000	121400000	gpos50	q26.12
chr10	121400000	125700000	gneg	q26.13
chr10	125700000	128800000	gpos50	q26.2
chr10	128800000	133797422	gneg	q26.3
chr10_GL383545v1_alt	0	179254		gneg
chr10_GL383546v1_alt	0	309802		gneg
chr10_KI270824v1_alt	0	181496		gneg
chr10_KI270825v1_alt	0	188315		gneg
chr11	0	2800000	gneg	p15.5
chr11	2800000	11700000	gpos50	p15.4
chr11	11700000	13800000	gneg	p15.3
chr11	13800000	16900000	gpos50	p15.2
chr11	16900000	22000000	gneg	p15.1
chr11	22000000	26200000	gpos100	p14.3
chr11	26200000	27200000	gneg	p14.2
chr11	27200000	31000000	gpos75	p14.1
chr11	31000000	36400000	gneg	p13
chr11	36400000	43400000	gpos100	p12
chr11	43400000	48800000	gneg	p11.2
chr11	48800000	51000000	gpos75	p11.12
chr11	51000000	53400000	acen	p11.11
chr11	53400000	55800000	acen	q11
chr11	55800000	60100000	gpos75	q12.1
chr11	60100000	61900000	gneg	q12.2
chr11	61900000	63600000	gpos25	q12.3
chr11	63600000	66100000	gneg	q13.1
chr11	66100000	68700000	gpos25	q13.2
chr11	68700000	70500000	gneg	q13.3
chr11	70500000	75500000	gpos50	q13.4
chr11	75500000	77400000	gneg	q13.5
chr11	77400000	85900000	gpos100	q14.1
chr11	85900000	88600000	gneg	q14.2
chr11	88600000	93000000	gpos100	q14.3
chr11	93000000	97400000	gneg	q21
chr11	97400000	102300000	gpos100	q22.1
chr11	102300000	103000000	gneg	q22.2
chr11	103000000	110600000	gpos100	q22.3
chr11	110600000	112700000	gneg	q23.1
chr11	112700000	114600000	gpos50	q23.2
chr11	114600000	121300000	gneg	q23.3
chr11	121300000	124000000	gpos50	q24.1
chr11	124000000	127900000	gneg	q24.2
chr11	127900000	130900000	gpos50	q24.3
chr11	130900000	135086622	gneg	q25
chr11_GL383547v1_alt	0	154407		gneg
chr11_JH159136v1_alt	0	200998		gneg
chr11_JH159137v1_alt	0	191409		gneg
chr11_KI270721v1_random	0	100316		gneg
chr11_KI270826v1_alt	0	186169		gneg
chr11_KI270827v1_alt	0	67707		gneg
chr11_KI270829v1_alt	0	204059		gneg
chr11_KI270830v1_alt	0	177092		gneg
chr11_KI270831v1_alt	0	296895		gneg
chr11_KI270832v1_alt	0	210133		gneg
chr11_KI270902v1_alt	0	106711		gneg
chr11_KI270903v1_alt	0	214625		gneg
chr11_KI270927v1_alt	0	218612		gneg
chr12	0	3200000	gneg	p13.33
chr12	3200000	5300000	gpos25	p13.32
chr12	5300000	10000000	gneg	p13.31
chr12	10000000	12600000	gpos75	p13.2
chr12	12600000	14600000	gneg	p13.1
chr12	14600000	19800000	gpos100	p12.3
chr12	19800000	21100000	gneg	p12.2
chr12	21100000	26300000	gpos100	p12.1
chr12	26300000	27600000	gneg	p11.23
chr12	27600000	30500000	gpos50	p11.22
chr12	30500000	33200000	gneg	p11.21
chr12	33200000	35500000	acen	p11.1
chr12	35500000	37800000	acen	q11
chr12	37800000	46000000	gpos100	q12
chr12	46000000	48700000	gneg	q13.11
chr12	48700000	51100000	gpos25	q13.12
chr12	51100000	54500000	gneg	q13.13
chr12	54500000	56200000	gpos25	q13.2
chr12	56200000	57700000	gneg	q13.3
chr12	57700000	62700000	gpos75	q14.1
chr12	62700000	64700000	gneg	q14.2
chr12	64700000	67300000	gpos50	q14.3
chr12	67300000	71100000	gneg	q15
chr12	71100000	75300000	gpos75	q21.1
chr12	75300000	79900000	gneg	q21.2
chr12	79900000	86300000	gpos100	q21.31
chr12	86300000	88600000	gneg	q21.32
chr12	88600000	92200000	gpos100	q21.33
chr12	92200000	95800000	gneg	q22
chr12	95800000	101200000	gpos75	q23.1
chr12	101200000	103500000	gneg	q23.2
chr12	103500000	108600000	gpos50	q23.3
chr12	108600000	111300000	gneg	q24.11
chr12	111300000	111900000	gpos25	q24.12
chr12	111900000	113900000	gneg	q24.13
chr12	113900000	116400000	gpos50	q24.21
chr12	116400000	117700000	gneg	q24.22
chr12	117700000	120300000	gpos50	q24.23
chr12	120300000	125400000	gneg	q24.31
chr12	125400000	128700000	gpos50	q24.32
chr12	128700000	133275309	gneg	q24.33
chr12_GL383549v1_alt	0	120804		gneg
chr12_GL383550v2_alt	0	169178		gneg
chr12_GL383551v1_alt	0	184319		gneg
chr12_GL383552v1_alt	0	138655		gneg
chr12_GL383553v2_alt	0	152874		gneg
chr12_GL877875v1_alt	0	167313		gneg
chr12_GL877876v1_alt	0	408271		gneg
chr12_KI270833v1_alt	0	76061		gneg
chr12_KI270834v1_alt	0	119498		gneg
chr12_KI270835v1_alt	0	238139		gneg
chr12_KI270836v1_alt	0	56134		gneg
chr12_KI270837v1_alt	0	40090		gneg
chr12_KI270904v1_alt	0	572349		gneg
chr13	0	4600000	gvar	p13
chr13	4600000	10100000	stalk	p12
chr13	10100000	16500000	gvar	p11.2
chr13	16500000	17700000	acen	p11.1
chr13	17700000	18900000	acen	q11
chr13	18900000	22600000	gneg	q12.11
chr13	22600000	24900000	gpos25	q12.12
chr13	24900000	27200000	gneg	q12.13
chr13	27200000	28300000	gpos25	q12.2
chr13	28300000	31600000	gneg	q12.3
chr13	31600000	33400000	gpos50	q13.1
chr13	33400000	34900000	gneg	q13.2
chr13	34900000	39500000	gpos75	q13.3
chr13	39500000	44600000	gneg	q14.11
chr13	44600000	45200000	gpos25	q14.12
chr13	45200000	46700000	gneg	q14.13
chr13	46700000	50300000	gpos50	q14.2
chr13	50300000	54700000	gneg	q14.3
chr13	54700000	59000000	gpos100	q21.1
chr13	59000000	61800000	gneg	q21.2
chr13	61800000	65200000	gpos75	q21.31
chr13	65200000	68100000	gneg	q21.32
chr13	68100000	72800000	gpos100	q21.33
chr13	72800000	74900000	gneg	q22.1
chr13	74900000	76700000	gpos50	q22.2
chr13	76700000	78500000	gneg	q22.3
chr13	78500000	87100000	gpos100	q31.1
chr13	87100000	89400000	gneg	q31.2
chr13	89400000	94400000	gpos100	q31.3
chr13	94400000	97500000	gneg	q32.1
chr13	97500000	98700000	gpos25	q32.2
chr13	98700000	101100000	gneg	q32.3
chr13	101100000	104200000	gpos100	q33.1
chr13	104200000	106400000	gneg	q33.2
chr13	106400000	109600000	gpos100	q33.3
chr13	109600000	114364328	gneg	q34
chr13_KI270838v1_alt	0	306913		gneg
chr13_KI270839v1_alt	0	180306		gneg
chr13_KI270840v1_alt	0	191684		gneg
chr13_KI270841v1_alt	0	169134		gneg
chr13_KI270842v1_alt	0	37287		gneg
chr13_KI270843v1_alt	0	103832		gneg
chr14	0	3600000	gvar	p13
chr14	3600000	8000000	stalk	p12
chr14	8000000	16100000	gvar	p11.2
chr14	16100000	17200000	acen	p11.1
chr14	17200000	18200000	acen	q11.1
chr14	18200000	24100000	gneg	q11.2
chr14	24100000	32900000	gpos100	q12
chr14	32900000	34800000	gneg	q13.1
chr14	34800000	36100000	gpos50	q13.2
chr14	36100000	37400000	gneg	q13.3
chr14	37400000	43000000	gpos100	q21.1
chr14	43000000	46700000	gneg	q21.2
chr14	46700000	50400000	gpos100	q21.3
chr14	50400000	53600000	gneg	q22.1
chr14	53600000	55000000	gpos25	q22.2
chr14	55000000	57600000	gneg	q22.3
chr14	57600000	61600000	gpos75	q23.1
chr14	61600000	64300000	gneg	q23.2
chr14	64300000	67400000	gpos50	q23.3
chr14	67400000	69800000	gneg	q24.1
chr14	69800000	73300000	gpos50	q24.2
chr14	73300000	78800000	gneg	q24.3
chr14	78800000	83100000	gpos100	q31.1
chr14	83100000	84400000	gneg	q31.2
chr14	84400000	89300000	gpos100	q31.3
chr14	89300000	91400000	gneg	q32.11
chr14	91400000	94200000	gpos25	q32.12
chr14	94200000	95800000	gneg	q32.13
chr14	95800000	100900000	gpos50	q32.2
chr14	100900000	102700000	gneg	q32.31
chr14	102700000	103500000	gpos50	q32.32
chr14	103500000	107043718	gneg	q32.33
chr14_GL000009v2_random	0	201709		gneg
chr14_GL000194v1_random	0	191469		gneg
chr14_GL000225v1_random	0	211173		gneg
chr14_KI270722v1_random	0	194050		gneg
chr14_KI270723v1_random	0	38115		gneg
chr14_KI270724v1_random	0	39555		gneg
chr14_KI270725v1_random	0	172810		gneg
chr14_KI270726v1_random	0	43739		gneg
chr14_KI270844v1_alt	0	322166		gneg
chr14_KI270845v1_alt	0	180703		gneg
chr14_KI270846v1_alt	0	1351393		gneg
chr14_KI270847v1_alt	0	1511111		gneg
chr15	0	4200000	gvar	p13
chr15	4200000	9700000	stalk	p12
chr15	9700000	17500000	gvar	p11.2
chr15	17500000	19000000	acen	p11.1
chr15	19000000	20500000	acen	q11.1
chr15	20500000	25500000	gneg	q11.2
chr15	25500000	27800000	gpos50	q12
chr15	27800000	30000000	gneg	q13.1
chr15	30000000	30900000	gpos50	q13.2
chr15	30900000	33400000	gneg	q13.3
chr15	33400000	39800000	gpos75	q14
chr15	39800000	42500000	gneg	q15.1
chr15	42500000	43300000	gpos25	q15.2
chr15	43300000	44500000	gneg	q15.3
chr15	44500000	49200000	gpos75	q21.1
chr15	49200000	52600000	gneg	q21.2
chr15	52600000	58800000	gpos75	q21.3
chr15	58800000	59000000	gneg	q22.1
chr15	59000000	63400000	gpos25	q22.2
chr15	63400000	66900000	gneg	q22.31
chr15	66900000	67000000	gpos25	q22.32
chr15	67000000	67200000	gneg	q22.33
chr15	67200000	72400000	gpos25	q23
chr15	72400000	74900000	gneg	q24.1
chr15	74900000	76300000	gpos25	q24.2
chr15	76300000	78000000	gneg	q24.3
chr15	78000000	81400000	gpos50	q25.1
chr15	81400000	84700000	gneg	q25.2
chr15	84700000	88500000	gpos50	q25.3
chr15	88500000	93800000	gneg	q26.1
chr15	93800000	98000000	gpos50	q26.2
chr15	98000000	101991189	gneg	q26.3
chr15_GL383554v1_alt	0	296527		gneg
chr15_GL383555v2_alt	0	388773		gneg
chr15_KI270727v1_random	0	448248		gneg
chr15_KI270848v1_alt	0	327382		gneg
chr15_KI270849v1_alt	0	244917		gneg
chr15_KI270850v1_alt	0	430880		gneg
chr15_KI270851v1_alt	0	263054		gneg
chr15_KI270852v1_alt	0	478999		gneg
chr15_KI270905v1_alt	0	5161414		gneg
chr15_KI270906v1_alt	0	196384		gneg
chr16	0	7800000	gneg	p13.3
chr16	7800000	10400000	gpos50	p13.2
chr16	10400000	12500000	gneg	p13.13
chr16	12500000	14700000	gpos50	p13.12
chr16	14700000	16700000	gneg	p13.11
chr16	16700000	21200000	gpos50	p12.3
chr16	21200000	24200000	gneg	p12.2
chr16	24200000	28500000	gpos50	p12.1
chr16	28500000	35300000	gneg	p11.2
chr16	35300000	36800000	acen	p11.1
chr16	36800000	38400000	acen	q11.1
chr16	38400000	47000000	gvar	q11.2
chr16	47000000	52600000	gneg	q12.1
chr16	52600000	56000000	gpos50	q12.2
chr16	56000000	57300000	gneg	q13
chr16	57300000	66600000	gpos100	q21
chr16	66600000	70800000	gneg	q22.1
chr16	70800000	72800000	gpos50	q22.2
chr16	72800000	74100000	gneg	q22.3
chr16	74100000	79200000	gpos75	q23.1
chr16	79200000	81600000	gneg	q23.2
chr16	81600000	84100000	gpos50	q23.3
chr16	84100000	87000000	gneg	q24.1
chr16	87000000	88700000	gpos25	q24.2
chr16	88700000	90338345	gneg	q24.3
chr16_GL383556v1_alt	0	192462		gneg
chr16_GL383557v1_alt	0	89672		gneg
chr16_KI270728v1_random	0	1872759		gneg
chr16_KI270853v1_alt	0	2659700		gneg
chr16_KI270854v1_alt	0	134193		gneg
chr16_KI270855v1_alt	0	232857		gneg
chr16_KI270856v1_alt	0	63982		gneg
chr17	0	3400000	gneg	p13.3
chr17	3400000	6500000	gpos50	p13.2
chr17	6500000	10800000	gneg	p13.1
chr17	10800000	16100000	gpos75	p12
chr17	16100000	22700000	gneg	p11.2
chr17	22700000	25100000	acen	p11.1
chr17	25100000	27400000	acen	q11.1
chr17	27400000	33500000	gneg	q11.2
chr17	33500000	39800000	gpos50	q12
chr17	39800000	40200000	gneg	q21.1
chr17	40200000	42800000	gpos25	q21.2
chr17	42800000	46800000	gneg	q21.31
chr17	46800000	49300000	gpos25	q21.32
chr17	49300000	52100000	gneg	q21.33
chr17	52100000	59500000	gpos75	q22
chr17	59500000	60200000	gneg	q23.1
chr17	60200000	63100000	gpos75	q23.2
chr17	63100000	64600000	gneg	q23.3
chr17	64600000	66200000	gpos50	q24.1
chr17	66200000	69100000	gneg	q24.2
chr17	69100000	72900000	gpos75	q24.3
chr17	72900000	76800000	gneg	q25.1
chr17	76800000	77200000	gpos25	q25.2
chr17	77200000	83257441	gneg	q25.3
chr17_GL000205v2_random	0	185591		gneg
chr17_GL000258v2_alt	0	1821992		gneg
chr17_GL383563v3_alt	0	375691		gneg
chr17_GL383564v2_alt	0	133151		gneg
chr17_GL383565v1_alt	0	223995		gneg
chr17_GL383566v1_alt	0	90219		gneg
chr17_JH159146v1_alt	0	278131		gneg
chr17_JH159147v1_alt	0	70345		gneg
chr17_JH159148v1_alt	0	88070		gneg
chr17_KI270729v1_random	0	280839		gneg
chr17_KI270730v1_random	0	112551		gneg
chr17_KI270857v1_alt	0	2877074		gneg
chr17_KI270858v1_alt	0	235827		gneg
chr17_KI270859v1_alt	0	108763		gneg
chr17_KI270860v1_alt	0	178921		gneg
chr17_KI270861v1_alt	0	196688		gneg
chr17_KI270862v1_alt	0	391357		gneg
chr17_KI270907v1_alt	0	137721		gneg
chr17_KI270908v1_alt	0	1423190		gneg
chr17_KI270909v1_alt	0	325800		gneg
chr17_KI270910v1_alt	0	157099		gneg
chr18	0	2900000	gneg	p11.32
chr18	2900000	7200000	gpos50	p11.31
chr18	7200000	8500000	gneg	p11.23
chr18	8500000	10900000	gpos25	p11.22
chr18	10900000	15400000	gneg	p11.21
chr18	15400000	18500000	acen	p11.1
chr18	18500000	21500000	acen	q11.1
chr18	21500000	27500000	gneg	q11.2
chr18	27500000	35100000	gpos100	q12.1
chr18	35100000	39500000	gneg	q12.2
chr18	39500000	45900000	gpos75	q12.3
chr18	45900000	50700000	gneg	q21.1
chr18	50700000	56200000	gpos75	q21.2
chr18	56200000	58600000	gneg	q21.31
chr18	58600000	61300000	gpos50	q21.32
chr18	61300000	63900000	gneg	q21.33
chr18	63900000	69100000	gpos100	q22.1
chr18	69100000	71000000	gneg	q22.2
chr18	71000000	75400000	gpos25	q22.3
chr18	75400000	80373285	gneg	q23
chr18_GL383567v1_alt	0	289831		gneg
chr18_GL383568v1_alt	0	104552		gneg
chr18_GL383569v1_alt	0	167950		gneg
chr18_GL383570v1_alt	0	164789		gneg
chr18_GL383571v1_alt	0	198278		gneg
chr18_GL383572v1_alt	0	159547		gneg
chr18_KI270863v1_alt	0	167999		gneg
chr18_KI270864v1_alt	0	111737		gneg
chr18_KI270911v1_alt	0	157710		gneg
chr18_KI270912v1_alt	0	174061		gneg
chr19	0	6900000	gneg	p13.3
chr19	6900000	12600000	gpos25	p13.2
chr19	12600000	13800000	gneg	p13.13
chr19	13800000	16100000	gpos25	p13.12
chr19	16100000	19900000	gneg	p13.11
chr19	19900000	24200000	gvar	p12
chr19	24200000	26200000	acen	p11
chr19	26200000	28100000	acen	q11
chr19	28100000	31900000	gvar	q12
chr19	31900000	35100000	gneg	q13.11
chr19	35100000	37800000	gpos25	q13.12
chr19	37800000	38200000	gneg	q13.13
chr19	38200000	42900000	gpos25	q13.2
chr19	42900000	44700000	gneg	q13.31
chr19	44700000	47500000	gpos25	q13.32
chr19	47500000	50900000	gneg	q13.33
chr19	50900000	53100000	gpos25	q13.41
chr19	53100000	55800000	gneg	q13.42
chr19	55800000	58617616	gpos25	q13.43
chr19_GL000209v2_alt	0	177381		gneg
chr19_GL383573v1_alt	0	385657		gneg
chr19_GL383574v1_alt	0	155864		gneg
chr19_GL383575v2_alt	0	170222		gneg
chr19_GL383576v1_alt	0	188024		gneg
chr19_GL949746v1_alt	0	987716		gneg
chr19_GL949747v2_alt	0	729520		gneg
chr19_GL949748v2_alt	0	1064304		gneg
chr19_GL949749v2_alt	0	1091841		gneg
chr19_GL949750v2_alt	0	1066390		gneg
chr19_GL949751v2_alt	0	1002683		gneg
chr19_GL949752v1_alt	0	987100		gneg
chr19_GL949753v2_alt	0	796479		gneg
chr19_KI270865v1_alt	0	52969		gneg
chr19_KI270866v1_alt	0	43156		gneg
chr19_KI270867v1_alt	0	233762		gneg
chr19_KI270868v1_alt	0	61734		gneg
chr19_KI270882v1_alt	0	248807		gneg
chr19_KI270883v1_alt	0	170399		gneg
chr19_KI270884v1_alt	0	157053		gneg
chr19_KI270885v1_alt	0	171027		gneg
chr19_KI270886v1_alt	0	204239		gneg
chr19_KI270887v1_alt	0	209512		gneg
chr19_KI270888v1_alt	0	155532		gneg
chr19_KI270889v1_alt	0	170698		gneg
chr19_KI270890v1_alt	0	184499		gneg
chr19_KI270891v1_alt	0	170680		gneg
chr19_KI270914v1_alt	0	205194		gneg
chr19_KI270915v1_alt	0	170665		gneg
chr19_KI270916v1_alt	0	184516		gneg
chr19_KI270917v1_alt	0	190932		gneg
chr19_KI270918v1_alt	0	123111		gneg
chr19_KI270919v1_alt	0	170701		gneg
chr19_KI270920v1_alt	0	198005		gneg
chr19_KI270921v1_alt	0	282224		gneg
chr19_KI270922v1_alt	0	187935		gneg
chr19_KI270923v1_alt	0	189352		gneg
chr19_KI270929v1_alt	0	186203		gneg
chr19_KI270930v1_alt	0	200773		gneg
chr19_KI270931v1_alt	0	170148		gneg
chr19_KI270932v1_alt	0	215732		gneg
chr19_KI270933v1_alt	0	170537		gneg
chr19_KI270938v1_alt	0	1066800		gneg
chr1_GL383518v1_alt	0	182439		gneg
chr1_GL383519v1_alt	0	110268		gneg
chr1_GL383520v2_alt	0	366580		gneg
chr1_KI270706v1_random	0	175055		gneg
chr1_KI270707v1_random	0	32032		gneg
chr1_KI270708v1_random	0	127682		gneg
chr1_KI270709v1_random	0	66860		gneg
chr1_KI270710v1_random	0	40176		gneg
chr1_KI270711v1_random	0	42210		gneg
chr1_KI270712v1_random	0	176043		gneg
chr1_KI270713v1_random	0	40745		gneg
chr1_KI270714v1_random	0	41717		gneg
chr1_KI270759v1_alt	0	425601		gneg
chr1_KI270760v1_alt	0	109528		gneg
chr1_KI270761v1_alt	0	165834		gneg
chr1_KI270762v1_alt	0	354444		gneg
chr1_KI270763v1_alt	0	911658		gneg
chr1_KI270764v1_alt	0	50258		gneg
chr1_KI270765v1_alt	0	185285		gneg
chr1_KI270766v1_alt	0	256271		gneg
chr1_KI270892v1_alt	0	162212		gneg
chr2	0	4400000	gneg	p25.3
chr2	4400000	6900000	gpos50	p25.2
chr2	6900000	12000000	gneg	p25.1
chr2	12000000	16500000	gpos75	p24.3
chr2	16500000	19000000	gneg	p24.2
chr2	19000000	23800000	gpos75	p24.1
chr2	23800000	27700000	gneg	p23.3
chr2	27700000	29800000	gpos25	p23.2
chr2	29800000	31800000	gneg	p23.1
chr2	31800000	36300000	gpos75	p22.3
chr2	36300000	38300000	gneg	p22.2
chr2	38300000	41500000	gpos50	p22.1
chr2	41500000	47500000	gneg	p21
chr2	47500000	52600000	gpos100	p16.3
chr2	52600000	54700000	gneg	p16.2
chr2	54700000	61000000	gpos100	p16.1
chr2	61000000	63900000	gneg	p15
chr2	63900000	68400000	gpos50	p14
chr2	68400000	71300000	gneg	p13.3
chr2	71300000	73300000	gpos50	p13.2
chr2	73300000	74800000	gneg	p13.1
chr2	74800000	83100000	gpos100	p12
chr2	83100000	91800000	gneg	p11.2
chr2	91800000	93900000	acen	p11.1
chr2	93900000	96000000	acen	q11.1
chr2	96000000	102100000	gneg	q11.2
chr2	102100000	105300000	gpos50	q12.1
chr2	105300000	106700000	gneg	q12.2
chr2	106700000	108700000	gpos25	q12.3
chr2	108700000	112200000	gneg	q13
chr2	112200000	118100000	gpos50	q14.1
chr2	118100000	121600000	gneg	q14.2
chr2	121600000	129100000	gpos50	q14.3
chr2	129100000	131700000	gneg	q21.1
chr2	131700000	134300000	gpos25	q21.2
chr2	134300000	136100000	gneg	q21.3
chr2	136100000	141500000	gpos100	q22.1
chr2	141500000	143400000	gneg	q22.2
chr2	143400000	147900000	gpos100	q22.3
chr2	147900000	149000000	gneg	q23.1
chr2	149000000	149600000	gpos25	q23.2
chr2	149600000	154000000	gneg	q23.3
chr2	154000000	158900000	gpos75	q24.1
chr2	158900000	162900000	gneg	q24.2
chr2	162900000	168900000	gpos75	q24.3
chr2	168900000	177100000	gneg	q31.1
chr2	177100000	179700000	gpos50	q31.2
chr2	179700000	182100000	gneg	q31.3
chr2	182100000	188500000	gpos75	q32.1
chr2	188500000	191100000	gneg	q32.2
chr2	191100000	196600000	gpos75	q32.3
chr2	196600000	202500000	gneg	q33.1
chr2	202500000	204100000	gpos50	q33.2
chr2	204100000	208200000	gneg	q33.3
chr2	208200000	214500000	gpos100	q34
chr2	214500000	220700000	gneg	q35
chr2	220700000	224300000	gpos75	q36.1
chr2	224300000	225200000	gneg	q36.2
chr2	225200000	230100000	gpos100	q36.3
chr2	230100000	234700000	gneg	q37.1
chr2	234700000	236400000	gpos50	q37.2
chr2	236400000	242193529	gneg	q37.3
chr20	0	5100000	gneg	p13
chr20	5100000	9200000	gpos75	p12.3
chr20	9200000	12000000	gneg	p12.2
chr20	12000000	17900000	gpos75	p12.1
chr20	17900000	21300000	gneg	p11.23
chr20	21300000	22300000	gpos25	p11.22
chr20	22300000	25700000	gneg	p11.21
chr20	25700000	28100000	acen	p11.1
chr20	28100000	30400000	acen	q11.1
chr20	30400000	33500000	gneg	q11.21
chr20	33500000	35800000	gpos25	q11.22
chr20	35800000	39000000	gneg	q11.23
chr20	39000000	43100000	gpos75	q12
chr20	43100000	43500000	gneg	q13.11
chr20	43500000	47800000	gpos25	q13.12
chr20	47800000	51200000	gneg	q13.13
chr20	51200000	56400000	gpos75	q13.2
chr20	56400000	57800000	gneg	q13.31
chr20	57800000	59700000	gpos50	q13.32
chr20	59700000	64444167	gneg	q13.33
chr20_GL383577v2_alt	0	128386		gneg
chr20_KI270869v1_alt	0	118774		gneg
chr20_KI270870v1_alt	0	183433		gneg
chr20_KI270871v1_alt	0	58661		gneg
chr21	0	3100000	gvar	p13
chr21	3100000	7000000	stalk	p12
chr21	7000000	10900000	gvar	p11.2
chr21	10900000	12000000	acen	p11.1
chr21	12000000	13000000	acen	q11.1
chr21	13000000	15000000	gneg	q11.2
chr21	15000000	22600000	gpos100	q21.1
chr21	22600000	25500000	gneg	q21.2
chr21	25500000	30200000	gpos75	q21.3
chr21	30200000	34400000	gneg	q22.11
chr21	34400000	36400000	gpos50	q22.12
chr21	36400000	38300000	gneg	q22.13
chr21	38300000	41200000	gpos50	q22.2
chr21	41200000	46709983	gneg	q22.3
chr21_GL383578v2_alt	0	63917		gneg
chr21_GL383579v2_alt	0	201197		gneg
chr21_GL383580v2_alt	0	74653		gneg
chr21_GL383581v2_alt	0	116689		gneg
chr21_KI270872v1_alt	0	82692		gneg
chr21_KI270873v1_alt	0	143900		gneg
chr21_KI270874v1_alt	0	166743		gneg
chr22	0	4300000	gvar	p13
chr22	4300000	9400000	stalk	p12
chr22	9400000	13700000	gvar	p11.2
chr22	13700000	15000000	acen	p11.1
chr22	15000000	17400000	acen	q11.1
chr22	17400000	21700000	gneg	q11.21
chr22	21700000	23100000	gpos25	q11.22
chr22	23100000	25500000	gneg	q11.23
chr22	25500000	29200000	gpos50	q12.1
chr22	29200000	31800000	gneg	q12.2
