chr1_name	chr1_start	chr1_end	chr_name	chr2_start	chr2_end
hs3	42905816	42907127	hs8	82882521	82883852
hs3	42905826	42907127	hs6	5554131	5555461
hs3	52265048	52266565	hs3	96137133	96138636
hs3	75482328	75498386	hs11	70999665	71016785
hs3	75691841	75732800	hs11	3538963	3579757
hs3	75723299	75731529	hs13	67374320	67381539
hs3	97801751	97802876	hs22	15492644	15493751
hs3	111883744	111884768	hs14	76170792	76171834
hs3	113723168	113726676	hs8	7934925	7938429
hs3	126904922	126912097	hs8	7436933	7445076
hs3	131215906	131225395	hs13	40905937	40914284
hs3	131215908	131219436	hs11	3371163	3374678
hs3	131331395	131390187	hs7	6946906	7006071
hs3	139081810	139083998	hsX	113915409	113917607
hs3	188064059	188067952	hs20	3960532	3964614
hs3	197146685	197167935	hs3	198843765	198868245
hs3	199325213	199347477	hs12	34176940	34221625
hs3	199325213	199329255	hs10	85726	91837
hs4	3872142	3873583	hs13	63308143	63309591
hs4	4044901	4095051	hs7	6946902	7006376
hs4	4202886	4235075	hs8	12580035	12604531
hs4	9061594	9077297	hs11	67240281	67256059
hs4	9200002	9234791	hs11	67388775	67424686
hs4	9360461	9368101	hs12	50783262	50789882
hs4	9360519	9364011	hs8	7441575	7445078
hs4	71891095	71893193	hs5	105777213	105779318
hs4	75022873	75024170	hs11	110163648	110164934
hs4	75501329	75542351	hs4	75671304	75712285
hs4	104027135	104116907	hs22	15265258	15363675
hs4	106625302	106626988	hs19	40564918	40567098
hs4	114055237	114056376	hs14	44431418	44432521
hs4	119732321	119741001	hs10	38732082	38741052
hs4	119740796	119771273	hs16	88732334	88756885
hs4	120597592	120600721	hs7	35868712	35871836
hs4	123879978	123881324	hs12	100840102	100841481
hs4	140198466	140201280	hs6	1457575	1459903
hs4	165404733	165416583	hs6	170763718	170775690
hs4	170819449	170858577	hs9	15021343	15061586
hs4	185710499	185711655	hs20	25745778	25746950
hs4	191181158	191244670	hs10	135286061	135348995
hs5	267343	271001	hs5	1650213	1653867
hs5	7334891	7361769	hs15	26868634	26896735
hs5	11726778	11728071	hs5	12180993	12182283
hs5	21513373	21517960	hs5	68985116	68989843
hs5	25224333	25226875	hs12	29433481	29436032
hs5	69533387	69551436	hs5	69551437	69569483
hs5	69838698	69841366	hs22	19810092	19812884
hs5	69859987	69862037	hs22	19810833	19812884
hs5	70102505	70107005	hs5	70547170	70551800
hs5	75502352	75504646	hs5	167218124	167220644
hs5	79689939	79691653	hsX	99996221	99998063
hs5	97755420	97757213	hs8	62653257	62655017
hs5	98877525	98899095	hs5	99742122	99764829
hs5	99738308	99760283	hs6	26960119	26979915
hs5	135792481	135793700	hsX	118238774	118239986
hs5	140482959	140484080	hs5	140539000	140540121
hs5	170611260	170616028	hsX	89254142	89258537
hs5	180824846	180827761	hs8	1	2936
hs6	3870661	3871835	hs6	4977802	4978974
hs6	26779306	26788398	hs6	26810366	26820898
hs6	29838662	29839830	hs6	30070553	30071660
hs6	91165935	91168095	hs7	45744343	45746521
hs7	61628	135860	hs16	88690888	88763806
hs7	83575	136116	hs9	140221813	140273252
hs7	6844161	6856461	hs7	97415254	97426457
hs7	6866138	6882595	hs8	11922281	11938108
hs7	6888313	6891848	hs8	7084358	7087895
hs7	26217807	26219476	hs11	27784895	27786617
hs7	43830022	43831738	hsX	73315064	73316332
hs7	56709153	56721373	hs7	57533596	57548504
hs7	56840124	56845482	hs11	112894	118139
hs7	57185211	57189072	hs7	63318370	63322728
hs7	57875073	57880124	hs19	44844761	44849898
hs7	57936293	57937957	hs10	38928858	38930511
hs7	61396831	61399068	hs21	28138409	28140655
hs7	63153682	63174280	hs7	63419854	63441972
hs7	64238704	64247287	hs16	33480748	33487793
hs7	65916793	65937020	hs7	73588791	73609185
hs7	73939937	73942434	hs7	101806163	101808611
hs7	74804486	74823223	hs7	75988834	76006989
hs7	97341175	97395221	hs8	7961714	8023326
hs7	100463356	100464771	hs7	100464772	100466187
hs7	101978859	101991422	hs17	54602658	54616951
hs7	122968323	122969512	hs8	48196217	48197401
hs7	138837658	138839128	hs12	104933723	104934939
hs8	6920792	6941301	hs8	12564013	12585125
hs8	6920792	6927109	hs9	92547114	92552417
hs8	6933975	6936563	hs8	7459581	7462059
hs8	7456738	7459748	hs12	8430157	8433157
hs8	7592899	7598250	hs9	92012179	92016533
hs8	7834054	7861308	hs12	8206636	8237482
hs8	83366084	83367163	hs19	47025774	47027161
hs8	83366089	83367174	hs13	52114831	52115918
hs8	128397069	128399331	hs9	38231310	38233610
hs8	142538303	142540038	hsX	99996220	99998079
hs9	44898290	45190199	hs9	67131925	67415961
hs9	65982036	66122585	hs9	42445755	42585208
hs9	65982036	66070244	hs14	27286005	27373295
hs9	39703687	39721589	hs9	40500086	40517950
hs9	66450718	66454095	hs10	27642484	27645771
hs9	69596761	69601137	hs17	21424011	21428652
hs9	21174560	21207309	hs9	21194134	21229939
hs9	33499235	33500875	hs9	99048037	99049676
hs9	34122457	34124699	hsX	43021573	43023856
hs9	44730122	44822214	hs9	45616757	45705509
hs9	44987364	45029639	hs20	25727338	25773788
hs9	66073581	66076606	hs13	18184058	18187052
hs9	67798030	67828230	hs22	14442363	14472231
hs9	69077540	69098969	hs17	22292179	22313614
hs9	78203358	78204402	hs14	94262301	94263345
hs9	92032643	92036913	hs13	40909972	40914548
hs9	92543437	92555383	hs13	40902219	40914027
hs9	127397729	127399058	hs19	47025520	47027154
hsX	47839324	47841307	hsX	47835253	47837031
hsX	90285264	90397397	hsY	4535444	4648661
hsX	2558059	2559213	hsX	2559217	2560459
hsX	6456756	6465811	hsX	8093195	8101800
hsX	50755862	50799842	hsX	50913647	50943580
hsX	63987949	63989010	hs12	67523162	67524220
hsX	70834717	70835750	hs14	69248214	69249247
hsX	73609228	73610410	hs19	47025658	47027172
hsX	83983130	83985359	hsX	84030876	84032749
hsX	91601276	91602656	hs12	103894608	103895981
hsX	115908908	115910207	hs10	59621288	59622574
hsX	115981045	115982515	hs14	50972746	50974912
hsX	132724428	132725451	hs14	76170796	76171818
hsX	153697791	153698990	hs15	60440732	60441942
hsX	154170659	154172979	hs12	42473798	42475827
hsY	23694083	23730350	hsY	23776993	23806427
hsY	6325697	6338266	hsY	23036329	23048846
hsY	12156996	12160351	hsY	12160352	12163717
hsY	18463546	18473838	hsY	24671275	24682910
hsY	21948658	21951140	hsY	22892106	22894558
hsY	22764306	22767392	hsY	22941115	22944073
hsY	24751515	24765023	hs15	82707620	82716374
hsY	57413044	57445887	hs10	127576431	127606934
hs10	16880470	16898097	hs10	45023337	45039660
hs10	17817718	18014681	hs10	18064682	18261586
hs10	37458528	37470742	hs15	18343522	18353081
hs10	37541645	37550597	hs21	13676598	13685585
hs10	39062957	39116549	hs10	42007732	42058364
hs10	41920317	41950093	hs16	45012453	45042465
hs10	41935244	41942344	hs16	32018116	32026484
hs10	42276669	42282136	hs10	50922471	50926629
hs10	47731938	47752398	hs10	55847760	55878747
hs10	50880923	50903856	hs10	88750702	88778003
hs10	57068555	57074954	hs17	21979818	21986099
hs10	85831152	85832536	hs14	60507929	60508947
hs10	124131651	124132781	hs20	2199305	2200436
hs10	135352977	135370337	hs19	63789868	63806651
hs11	3570251	3574979	hs11	17022639	17026298
hs11	5548721	5550060	hs18	28245846	28247199
hs11	5548806	5550041	hs19	11637637	11638888
hs11	48953072	48967012	hs11	55402244	55416239
hs11	49828651	49839931	hs11	49860535	49871957
hs11	72968843	72970032	hs22	40434362	40435537
hs11	73743077	73745099	hs18	28245500	28247197
hs11	89327957	89330138	hs11	89443806	89445994
hs12	27108179	27115636	hs12	27620148	27627305
hs12	50392131	50393587	hs15	55326075	55327465
hs12	100404251	100405971	hs17	30542410	30543799
hs13	18097933	18101793	hs22	28606397	28610314
hs13	23872856	23890962	hs13	40317045	40336036
hs13	23985105	23988527	hs13	24400395	24404075
hs13	63188926	63199511	hs13	63231065	63241650
hs13	91373985	91376634	hs16	33062884	33065199
hs13	112000001	112005642	hs13	112009008	112014718
hs14	41184909	41186079	hs21	14921480	14922641
hs14	102910048	102911083	hs15	50965007	50966037
hs15	18359651	18383859	hs17	22309145	22332846
hs15	18765800	18770075	hs16	33710237	33714569
hs15	19038135	19039596	hs15	82702390	82703933
hs15	19370569	19377567	hs18	14094854	14102313
hs15	20063834	20064871	hs22	47402556	47403649
hs15	20805764	20826628	hs15	21150433	21171342
hs15	20941776	20948562	hs15	26168725	26175391
hs15	26239620	26241157	hs16	32105342	32107181
hs15	26337653	26378746	hs15	26500197	26542635
hs15	70702004	70750592	hs15	75989785	76038305
hs15	75986609	75994803	hs15	80800972	80808820
hs15	76814483	76815946	hs15	80422573	80424035
hs15	80588731	80602791	hs15	88633813	88645981
hs15	82693205	82701960	hs15	88633813	88637794
hs16	11831325	11833094	hs16	11833513	11834808
hs16	14750515	14770467	hs16	68563995	68583883
hs16	15118813	15126596	hs16	28560871	28568579
hs16	18903802	18911873	hs16	30176804	30184825
hs16	21647926	21716330	hs16	22464053	22532760
hs16	28674033	28710678	hs16	28954002	28990510
hs16	29398266	29402915	hs18	11605184	11609615
hs16	32978496	32981813	hs16	33194645	33197971
hs16	32978496	32981813	hs16	33194645	33197971
hs16	33138145	33141337	hs17	22807626	22817558
hs16	33734770	33771971	hs18	15171817	15239584
hs17	33540513	33557215	hs17	4968663	4984967
hs17	21484901	21507201	hs20	25681093	25708370
hs17	55438128	55456657	hs17	31869146	31886998
hs17	55441682	55450933	hs17	18236222	18245489
hs17	790612	791635	hs17	791638	792889
hs17	4966501	4971591	hs17	55551938	55557096
hs17	14076895	14081416	hs17	15608200	15612790
hs17	20662859	20672060	hs17	57634945	57642633
hs17	25967273	25971771	hs17	42476682	42481169
hs17	27447654	27451731	hs17	63292720	63296343
hs17	31599338	31600507	hs17	55436845	55438011
hs17	38540472	38545315	hs17	39350101	39353310
hs18	88797	92817	hs21	46924874	46928874
hs18	10899566	10905776	hs18	12066953	12073498
hs18	75479420	75480551	hs18	75480608	75481744
hs19	39846585	39848969	hs19	39913616	39916040
hs19	48345201	48352794	hs19	48537509	48543955
hs19	58150520	58151609	hs19	58175386	58176482
hs19	59989686	59993593	hs19	60039068	60042977
hs20	23905387	23916666	hs22	18943403	18954607
hs20	48687282	48692970	hs20	48816649	48822612
hs22	17060379	17065462	hs22	22153187	22159429
hs22	19814544	19819306	hs22	22999766	23005034
hs22	19993893	20003873	hs22	22143423	22152914
hs22	31005645	31055497	hs22	42949940	42993590
