chr_name	start	end	color
hs16	27000000	37000000	yellow
hs16	45000000	39000000	black
hs16	57000000	42000000	red
hs16	68100000	50000000	blue
hs17	7100000	2100000	yellow
hs17	8200000	3100000	black
hs17	10000000	3300000	red
hs17	28000000	3500000	blue
hs17	41000000	47000000	yellow
hs17	57000000	51000000	black
hs17	59000000	64000000	red
hs18	14000000	21100000	blue
hs18	18200000	30100000	yellow
hs18	19000000	33300000	black
hs18	38000000	34500000	red
hs18	42000000	39600000	blue
hs18	47000000	42000000	yellow
hs18	52000000	43000000	black
hs19	21000000	11100000	red
hs19	25200000	19100000	blue
hs19	26000000	21300000	yellow
hs19	28000000	26500000	black
hs19	35000000	30600000	red
hs19	36000000	32000000	blue
hs19	41000000	36000000	yellow
hs20	12000000	21000000	black
hs20	14000000	22000000	red
hs20	16000000	31100000	blue
hs20	17200000	39100000	yellow
hs20	19000000	41300000	black
hs20	28000000	46500000	red
hs20	35000000	51600000	blue
hs20	46000000	52000000	yellow
hs20	51000000	56000000	black
hs21	10000000	26000000	red
hs21	11200000	26900000	blue
hs21	12800000	27400000	yellow
hs21	13200000	27900000	black
hs21	14900000	28000000	red
hs21	28000000	28500000	blue
hs21	28400000	29100000	yellow
hs21	29200000	30100000	black
hs21	29600000	31000000	red
hs22	6000000	13000000	blue
hs22	7200000	14900000	yellow
hs22	8800000	15100000	black
hs22	13200000	16900000	red
hs22	18900000	18000000	blue
hs22	21000000	20500000	yellow
hs22	22400000	20100000	black
hs22	24200000	23100000	red
hs22	25600000	24000000	blue
hsX	31450000	21000000	yellow
hsX	35700000	25000000	black
hsX	40100000	38000000	red
hsX	42600000	42000000	blue
hsX	53500000	53000000	yellow
hsX	62200000	54900000	black
hsX	67800000	65100000	red
hsX	81900000	66900000	blue
hsX	103190000	78000000	yellow
hsX	105800000	80500000	black
hsX	119400000	84100000	red
hsX	124200000	93100000	blue
hsX	145600000	104000000	yellow
hsY	1000000	8900000	blue
hsY	2200000	9900000	yellow
hsY	3800000	11100000	black
hsY	7200000	13900000	red
hsY	18900000	14000000	blue
hsY	21000000	20500000	yellow
hsY	27400000	20100000	blue
hsY	29200000	23100000	yellow
