chr_name	start	end	value
chr1	39238731	39239663	1.5350796
chr1	39750198	39750987	1.236455541
chr1	40160511	40160823	1.09253926
chr1	40161404	40161949	0.999303787
chr1	40429553	40429674	1.012832276
chr1	40429782	40431078	1.363678063
chr1	40460572	40461060	1.018790144
chr1	41158898	41159113	1.334874885
chr1	41245350	41245438	5.923142572
chr1	41721784	41721968	1.370550305
chr1	41849193	41850104	1.185188035
chr1	42104324	42104801	1.068059805
chr1	42279069	42279378	2.090196807
chr1	42280739	42280984	2.769197595
chr1	42763059	42763282	0.998650387
chr1	43006306	43006464	2.588593433
chr1	43650264	43650744	1.309839014
chr1	43715212	43715499	3.608632019
chr1	43788945	43789004	2.30632652
chr1	44009663	44010327	0.991300404
chr1	44012196	44012813	1.15349677
chr1	44361687	44362923	1.230634091
chr1	44364750	44365745	1.524888572
chr1	44842993	44843565	1.730018561
chr1	44865050	44865532	1.157740922
chr1	44973223	44973665	1.150696075
chr1	45286367	45287115	4.127749903
chr1	45287388	45287791	3.732462394
chr1	45719396	45719504	1.119421313
chr1	45800568	45800859	1.04224786
chr1	46381885	46381997	1.266081058
chr1	46786988	46787220	1.022354992
chr1	46820964	46821245	1.147764798
chr1	46923509	46923712	1.664554663
chr1	46965711	46965805	1.006558909
chr1	47417263	47418274	1.733064135
chr1	47439997	47440325	1.220459067
chr1	47440431	47440984	1.703184136
chr1	47658120	47658601	1.741408157
chr1	47685287	47685593	2.078893867
chr1	48292308	48292782	1.897198804
chr1	49060944	49061737	1.656428634
chr1	50156661	50156816	1.026577144
chr1	50230353	50231202	1.453545937
chr1	50355400	50355765	1.26073368
chr1	50443444	50445656	1.076869393
chr1	50505752	50507414	2.250589705
chr1	50696004	50696374	1.057292189
chr1	51729690	51730340	1.311823183
chr1	51831002	51831205	2.370817037
chr1	51908618	51908933	1.995069749
chr1	52751437	52751915	1.259883094
chr1	53956312	53956488	1.93852037
chr1	54742606	54742642	7.970409158
chr1	55245880	55247463	1.409218214
chr1	56920980	56921374	1.497134895
chr1	57578380	57578576	1.019047138
chr1	57586394	57586627	1.183235569
chr1	58201236	58201613	1.584244037
chr1	58287802	58288207	1.602407911
chr1	58367798	58368133	2.017380559
chr1	59071030	59071267	1.095354098
chr1	60225431	60225708	1.305002472
chr1	60811037	60811274	4.361875069
chr1	60887650	60888269	1.031547586
chr1	61783952	61784964	1.008039376
chr1	61787125	61787488	1.025279344
chr1	62510521	62511034	1.279620188
chr1	62683995	62684214	1.286758874
chr1	62705671	62706514	1.535828217
chr1	62739038	62739472	1.115146355
chr1	63327260	63327987	1.637739182
chr1	65691124	65691355	1.518761744
chr1	65995238	65996359	1.488924035
chr1	67451528	67451659	2.048392652
chr1	67929241	67929710	2.668483715
chr1	68220912	68221925	1.418614959
chr1	68226423	68226912	3.384928544
chr1	68249881	68250769	1.636832864
chr1	68251304	68251588	3.148119016
chr1	68260569	68261055	2.249637701
chr1	68396869	68397272	2.166805994
chr1	68509814	68510059	3.775740111
chr1	68531204	68531441	1.005594029
chr1	68540205	68540653	1.026663738
chr1	68551384	68551646	1.186193703
chr1	68563678	68564394	1.957181558
chr1	68586919	68587540	1.152691836
chr1	68590407	68591402	2.654629794
chr1	68591497	68591767	2.050906097
chr1	68592230	68592884	2.529142268
chr1	68595530	68596076	3.368179108
chr1	68598013	68598766	1.235082553
chr1	68663551	68663906	1.452831703
chr1	68675641	68676010	1.139338402
chr1	69168883	69169041	1.582062521
chr1	69294465	69295575	1.982226487
chr1	69319497	69320708	1.635950472
chr1	69324928	69325318	1.962905741
chr1	69366869	69367324	3.881535164
chr1	69368868	69369267	1.654142232
chr1	69598085	69598413	1.48733376
chr1	69618122	69618528	4.040248806
chr1	69632768	69633468	4.349905652
chr1	69735286	69735651	2.095311604
chr1	69736063	69736562	4.244844202
chr1	69736689	69737432	2.752451024
chr1	69743012	69743235	4.677419311
chr1	69751163	69751758	1.000370204
chr1	69920620	69920884	1.931637847
chr1	69937373	69938259	1.536673357
chr1	70062088	70063278	2.113588417
chr1	70070589	70071481	2.58088235
chr1	70115541	70116098	3.881987523
chr1	70116176	70117420	1.055429789
chr1	70126639	70127231	1.80055796
chr1	70209676	70210674	5.072815643
chr1	70301627	70301813	2.510328458
chr1	70302020	70303255	3.082262312
chr1	70504341	70504562	3.277423897
chr1	70783711	70783883	1.862555049
chr1	70785888	70786451	2.247203564
chr1	70806942	70807876	0.999560794
chr1	70975635	70975833	3.8811947
chr1	70976350	70976580	2.007959018
chr1	70987544	70987752	8.401422654
chr1	71114256	71114878	4.947753982
chr1	71141627	71142174	1.99723836
chr1	71150275	71151226	2.131575807
chr1	71157731	71158063	2.682811334
chr1	71161063	71161629	1.881208803
chr1	71161715	71162823	1.413457421
chr1	71163348	71163763	1.598182948
chr1	71164543	71164798	3.669022753
chr1	71207702	71208065	5.997971064
chr1	71292621	71293043	3.166419723
chr1	71310366	71310660	2.609796351
chr1	71312828	71313529	1.117800418
chr1	71315424	71316580	3.273969315
chr1	71427819	71428176	8.879026218
chr1	71517247	71517649	6.803581058
chr1	71524407	71524560	1.55370093
chr1	71526837	71527257	3.686275559
chr1	71561942	71562600	3.187438709
chr1	71609133	71609687	5.086980561
chr1	71621542	71622052	2.446468981
chr1	71672199	71672662	1.013934614
chr1	71779352	71779884	1.135257455
chr1	71822027	71822531	1.308982587
chr1	71825496	71826067	1.600836191
chr1	71849994	71850442	2.487708856
chr1	71850550	71851063	4.127742905
chr1	71981066	71981752	1.40302631
chr1	71982571	71982691	1.094310835
chr1	72012284	72012524	5.240566351
chr1	72027552	72027947	3.803253196
chr1	72028158	72028905	2.95515855
chr1	72030261	72030897	1.301697035
chr1	72032965	72033700	3.940226008
chr1	72069016	72069469	1.517435765
chr1	72080530	72080931	1.595081269
chr1	72081544	72082497	1.239796438
chr1	72104023	72104707	1.343840663
chr1	72104814	72105182	1.17744178
chr1	72187787	72188571	5.703023041
chr1	72226909	72227524	1.379095669
chr1	72304127	72304592	3.853872669
chr1	72306176	72306702	1.796973685
chr1	72341189	72341983	1.598779199
chr1	72405533	72406193	5.3149353
chr1	72408232	72408727	3.306220174
chr1	72414777	72415466	1.959435558
chr1	72416583	72416950	1.091143149
chr1	72429157	72429542	3.691503909
chr1	72487921	72488868	3.330538052
chr1	72489420	72489841	1.140213991
chr1	72493589	72493991	1.434756346
chr1	72605412	72605967	1.356084995
chr1	72837185	72837746	5.181789481
chr1	72871728	72872022	2.671424029
chr1	72880660	72881188	3.039870371
chr1	72887135	72887260	1.026517985
chr1	72887602	72887935	2.672851653
chr1	72888956	72889498	1.034734376
chr1	73082024	73082751	1.212851671
chr1	73247482	73247775	3.081663232
chr1	73249279	73249867	1.182815774
chr1	73266308	73266570	2.180383584
chr1	73362243	73362352	1.495207408
chr1	73380939	73381353	1.216549753
chr1	73438328	73438838	2.954044214
chr1	73452169	73452685	1.712921139
chr1	73454608	73455287	1.254017408
chr1	73632381	73633100	2.187817776
chr1	73709143	73709376	4.280563183
chr1	73750748	73750865	6.522459451
chr1	73761201	73762095	1.723585253
chr1	73838533	73839237	1.263988192
chr1	73906426	73906666	3.335956305
chr1	73909995	73910170	1.046670176
chr1	73917444	73917659	3.038339468
chr1	73974146	73974554	1.025819937
chr1	74094864	74095380	5.455623729
chr1	74120658	74121202	4.349424709
chr1	74126559	74126949	1.940237528
chr1	74178267	74178610	3.432279063
chr1	74179880	74180304	1.948605671
chr1	74251176	74251577	6.46915895
chr1	74274175	74274585	6.284185432
chr1	74327390	74327584	3.406624527
chr1	74370730	74371017	2.890371761
chr1	74506511	74506910	2.911711886
chr1	74532935	74533224	3.866779761
chr1	74638036	74638457	2.726294075
chr1	74640734	74640926	4.156829966
chr1	74785713	74785945	3.704612978
chr1	75378011	75378690	1.470801406
chr1	75403991	75404130	1.169428614
chr1	75645270	75645480	1.366294965
chr1	76120934	76121080	2.717687018
chr1	76162048	76162339	1.070645611
chr1	77353597	77353719	5.769048958
chr1	77403618	77403766	1.56201887
chr1	78239804	78240488	1.859508398
chr1	78240591	78240986	1.413312482
chr1	78350847	78351602	1.027844035
chr1	78654764	78655368	1.850742197
chr1	79432769	79433835	2.074590995
chr1	79905172	79905447	1.087984728
chr1	79984599	79985212	1.396914558
chr1	80238849	80239171	1.109689973
chr1	80259270	80259829	1.180375777
chr1	81454577	81454842	1.160555851
chr1	81704278	81704443	1.473436478
chr1	81795502	81796202	1.500832797
chr1	81914501	81915430	1.292063567
chr1	82527541	82527995	1.129358986
chr1	82553412	82553835	4.698578569
chr1	82556302	82556765	1.194923082
chr1	82557628	82557958	2.05423303
chr1	82566446	82566684	2.156917818
chr1	82680122	82681170	1.256548253
chr1	82682227	82682837	1.885715408
chr1	82684279	82684688	2.592401233
chr1	82708971	82709138	1.396694442
chr1	82709831	82710264	1.240059983
chr1	82742898	82744062	1.279474915
chr1	82831422	82831962	2.507648268
chr1	82846111	82846602	1.016766607
chr1	82849503	82849651	1.504221166
chr1	82899220	82899546	1.352507902
chr1	82922077	82922678	2.385596741
chr1	82923564	82923959	1.190296573
chr1	83056378	83056742	1.841355747
chr1	83057654	83058087	1.325297614
chr1	83059891	83060983	1.336176637
chr1	83120607	83121292	1.031399483
chr1	83165412	83165812	2.387018723
chr1	83167904	83168195	2.534409321
chr1	83190740	83191308	2.922002012
chr1	83199175	83199563	2.745032777
chr1	83228157	83228955	1.842824225
chr1	83263986	83264474	4.082636551
chr1	83393121	83393947	1.937346638
chr1	83408342	83408586	1.187302973
chr1	83409117	83409470	2.702766264
chr1	83419402	83419641	1.57833204
chr1	83500452	83500973	4.109450479
chr1	83547942	83548116	1.221952107
chr1	83548196	83548732	4.810160358
chr1	83549476	83549712	1.396892258
chr1	83551679	83552006	3.917821776
chr1	83553890	83554596	1.690375158
chr1	83663435	83663934	1.610405884
chr1	83671252	83671593	1.285404859
chr1	83789888	83790130	1.808707297
chr1	83793865	83794487	4.859300129
chr1	83825022	83825718	1.271813537
chr1	84103175	84103909	4.720929543
chr1	84105887	84106553	3.339815544
chr1	84135831	84136672	5.375837197
chr1	84144960	84145443	3.239046954
chr1	84157559	84157787	4.093005707
chr1	84159986	84160136	2.251668595
chr1	84160335	84160658	2.510870093
chr1	84233222	84233798	1.594503584
chr1	84249411	84249621	6.51240054
chr1	84281324	84281601	1.310149316
chr1	84329667	84329760	5.872821292
chr1	84330041	84330570	4.939277412
chr1	84335346	84335807	1.978440789
chr1	84352885	84353496	1.980260084
chr1	84451442	84451864	5.324540284
chr1	84452669	84453056	1.719971039
chr1	84455747	84456647	2.033670325
chr1	84580798	84581545	4.862577306
chr1	84587885	84589053	3.973174406
chr1	84604720	84605395	3.587699501
chr1	84606092	84606365	1.400049042
chr1	84617212	84617913	1.664983945
chr1	84658694	84659083	6.178589702
chr1	84667594	84667935	1.269819939
chr1	84712808	84713208	3.289102123
chr1	85006015	85006165	3.812442212
chr1	85069440	85070069	1.784879715
chr1	85073769	85074745	2.145194442
chr1	85074882	85075510	1.783739137
chr1	85174450	85175132	4.773450679
chr1	85229082	85229531	5.638884563
chr1	85229992	85230128	2.798935868
chr1	85231819	85231911	1.077037959
chr1	85395727	85395918	1.498431874
chr1	85404608	85404771	2.191449297
chr1	85473292	85473471	2.651321777
chr1	85773424	85773678	5.168288015
chr1	85774213	85775331	3.956381342
chr1	85848701	85849185	1.050260505
chr1	86008160	86008345	1.716017952
chr1	86008717	86009581	1.348760495
chr1	86009662	86010290	1.261104204
chr1	86060992	86061386	3.026818203
chr1	86239404	86240173	8.97510588
chr1	86291924	86292789	2.14121246
chr1	86324163	86325034	1.038796123
chr1	86355766	86356169	1.621208408
chr1	86356379	86356793	1.809368558
chr1	86454678	86454747	1.106786282
chr1	86455830	86457882	3.827615685
chr1	86482006	86482744	2.263334852
chr1	86530505	86531655	1.010001712
chr1	86601814	86602016	4.046885459
chr1	86635654	86636024	2.450743477
chr1	86641590	86641772	4.412999951
chr1	86641940	86642419	1.484136464
chr1	86737654	86737869	4.206369629
chr1	86738165	86738630	2.463583729
chr1	86738754	86739079	4.00562198
chr1	87487177	87487411	2.724116074
chr1	87487969	87488495	4.277547043
chr1	87530824	87531539	1.769901022
chr1	87532591	87533654	4.900090466
chr1	87603011	87603720	1.605651044
chr1	87604132	87604657	1.058819886
chr1	87657388	87657747	4.877682085
chr1	87665560	87665765	3.203856773
chr1	87694561	87694833	6.717984395
chr1	87748755	87749371	7.592335746
chr1	87794181	87794641	2.72935702
chr1	87795169	87795768	2.13306188
chr1	87807347	87808434	2.936706796
chr1	87808988	87809456	4.392904906
chr1	88113606	88113937	2.075852383
chr1	88320665	88321473	1.522696329
chr1	88323738	88324808	3.023276006
chr1	88464605	88465111	8.334535464
chr1	88510103	88510779	1.390693932
chr1	88511746	88512209	7.536764006
chr1	88528978	88529649	4.657170336
chr1	88584340	88584641	2.3348918
chr1	88585415	88586078	1.121013101
chr1	88692849	88693255	1.313633659
chr1	88704864	88705311	2.808873055
chr1	88801251	88801434	2.556850759
chr1	88802825	88803148	3.087398047
chr1	88803629	88803870	3.493007746
chr1	88858437	88858950	2.864158937
chr1	89012500	89013566	3.290585744
chr1	89013756	89014089	2.168188682
chr1	89161444	89162512	2.582389233
chr1	89163831	89164343	1.197163332
chr1	89259152	89259970	1.425843346
chr1	89260739	89261763	2.162160084
chr1	89355246	89355742	1.088155805
chr1	89472588	89472898	1.804759481
chr1	89473732	89474001	2.811852363
chr1	89562119	89562469	3.533428444
chr1	89564963	89565380	3.923908715
chr1	89640054	89640477	2.301017396
chr1	89677085	89677217	1.803826162
chr1	89724709	89724978	2.132538676
chr1	89826304	89826752	1.986450417
chr1	89929276	89929633	4.85141848
chr1	89940185	89941181	2.410700558
chr1	90140766	90141090	1.71419825
chr1	90301999	90302370	3.574937066
chr1	90312473	90313058	3.145000846
chr1	90523998	90525041	2.66377731
chr1	90869681	90870335	4.684416745
chr1	90937775	90938484	3.995389554
chr1	91069225	91070044	4.688642767
chr1	91134894	91134971	8.606511217
chr1	91142133	91142630	4.044776148
chr1	91147371	91148159	1.309369592
chr1	91422845	91423185	1.642821622
chr1	91624203	91624619	1.471861363
chr1	91956638	91956865	1.297090163
chr1	92055206	92055652	2.112417647
chr1	92056654	92056889	1.126229194
chr1	92071163	92072075	1.394375937
chr1	92072528	92072904	2.984632366
chr1	92226093	92226351	1.674069246
chr1	92240796	92241030	1.471486564
chr1	92732814	92733325	1.691414313
chr1	92851522	92852054	1.441597476
chr1	92899761	92900637	2.622348799
chr1	92960017	92960559	1.200628328
chr1	93034181	93034803	7.430066594
chr1	93132300	93132984	2.0910795
chr1	93214137	93214879	1.090752155
chr1	93304227	93304622	1.169344293
chr1	93307315	93307602	8.381115144
chr1	93307712	93308220	5.40786632
chr1	93423734	93424176	3.00372698
chr1	93744512	93745280	1.024800742
chr1	93784704	93785314	5.748927356
chr1	93849570	93849976	5.833650836
chr1	94351023	94351282	5.612888412
chr1	94364486	94364678	6.125666579
chr1	94366093	94366479	4.535361455
chr1	94366978	94367214	1.506874418
chr1	94654404	94654576	1.001693411
chr1	94654919	94655191	1.090198895
chr1	94671811	94672356	4.765922636
chr1	94672726	94673232	1.695138245
chr1	94911397	94911548	1.765358491
chr1	94922270	94922830	1.61026209
chr1	94940700	94940973	7.270727978
chr1	94979449	94979820	1.853730899
chr1	95049616	95050290	1.98213352
chr1	95152776	95153111	2.084788304
chr1	95215556	95215840	1.290244089
chr1	95216019	95216420	1.62251858
chr1	95217683	95217881	3.572277089
chr1	95249218	95249544	4.13670308
chr1	95370855	95371297	1.836561071
chr1	95372355	95372779	2.136106782
chr1	95373878	95374207	1.380823379
chr1	95641398	95641949	2.204299127
chr1	95678146	95678364	2.300213669
chr1	95841387	95841803	2.254536134
chr1	95842699	95843240	1.325374438
chr1	95843994	95844244	3.581512915
chr1	95846845	95848289	3.376299048
chr1	95996850	95997674	1.152291454
chr1	95998073	95998515	1.734799519
chr1	96081289	96081650	3.444848476
chr1	96214745	96215332	3.789735803
chr1	96216295	96216602	3.3819175
chr1	96217280	96217705	1.03159416
chr1	96411048	96411550	1.90269915
chr1	96426815	96427691	3.289099788
chr1	96473000	96473268	2.6532791
chr1	96480571	96480899	3.227168434
chr1	96481060	96481414	3.040307878
chr1	96485409	96485882	1.625210812
chr1	96491240	96491730	1.129706946
chr1	96568026	96568320	2.729199047
chr1	96569098	96569516	1.167622058
chr1	96571214	96571623	1.230084576
chr1	96572189	96572668	1.418310109
chr1	96572854	96573898	1.031028637
chr1	96576878	96577109	5.421895374
chr1	96631015	96631853	5.347107801
chr1	96637702	96638176	1.096291702
chr1	96640953	96641160	2.909436398
chr1	96641896	96642468	1.116534391
chr1	96699236	96699942	1.653308052
chr1	96898228	96898748	1.632751772
chr1	96901117	96901432	1.081781028
chr1	96902233	96902463	1.063296293
chr1	97041470	97041889	6.613491
chr1	97095161	97095690	5.348376784
chr1	97107129	97107414	3.298862841
chr1	97292090	97292544	1.764489873
chr1	97317527	97318779	2.357238749
chr1	97336653	97336954	2.512733613
chr1	97339450	97340067	3.361833338
chr1	97361463	97362547	6.268501809
chr1	97363039	97363814	2.118499398
chr1	97415780	97416083	2.330769561
chr1	97420034	97420558	5.40624995
chr1	97453173	97453516	3.608820789
chr1	97466600	97466933	2.510172273
chr1	97528389	97528946	1.975621562
chr1	97533592	97534305	3.419189415
chr1	97554052	97554919	1.895636951
chr1	97714348	97715435	1.679928196
chr1	97718910	97719287	1.881114773
chr1	97779764	97780600	1.037643324
chr1	97994837	97995350	1.240873071
chr1	98101750	98102160	1.821193048
chr1	98107599	98108040	1.402550216
chr1	98109678	98110321	1.345877457
chr1	98157696	98158161	2.666168361
chr1	98158800	98159299	3.066222703
chr1	98231367	98232187	3.410588555
chr1	98330520	98331013	5.096849548
chr1	98380521	98380858	6.411527037
chr1	98384176	98385075	1.367061457
chr1	98389259	98389681	1.094995265
chr1	98392559	98392962	5.402488489
chr1	98398471	98398796	4.16638301
chr1	98399532	98399731	4.508153063
chr1	98542788	98543448	2.454040056
chr1	98578577	98578944	2.404569412
chr1	98581210	98581391	2.644034384
chr1	98887562	98888665	1.226654728
chr1	99226682	99227103	5.041287691
chr1	99389155	99390025	1.699611357
chr1	99425126	99425530	3.343499593
chr1	99776439	99778034	1.807410202
chr1	99779859	99781121	1.106352906
chr1	100216678	100216988	1.955879498
chr1	100217896	100218188	6.715830355
chr1	100218562	100218884	2.486455206
chr1	100221427	100221822	1.329852978
chr1	100223901	100224603	6.130429399
chr1	100384771	100384980	4.563660136
chr1	100650121	100652935	1.526153576
chr1	101338737	101339192	6.127018201
chr1	101339460	101339868	3.444202073
chr1	101754497	101755076	2.226155948
chr1	102258802	102259061	2.416063828
chr1	102259759	102260377	1.434401367
chr1	102346606	102347184	4.216916996
chr1	102355844	102356786	1.404614135
chr1	102358141	102359333	1.490355199
chr1	102363751	102364150	1.657223096
chr1	102559266	102559998	5.119083499
chr1	102560076	102560715	1.639993439
chr1	102598419	102598813	1.84094699
chr1	102598939	102599187	2.119657689
chr1	102620173	102620684	5.789602514
chr1	102709128	102709948	1.970493185
chr1	102999065	102999351	1.358531816
chr1	103201581	103202112	2.377072641
chr1	103204599	103205385	2.307933327
chr1	103228000	103228267	1.795616805
chr1	103902408	103902666	1.021202417
chr1	103917817	103918247	1.867603914
chr1	104419813	104420172	1.126108344
chr1	104422739	104423098	2.594583234
chr1	104826723	104827339	2.019154934
chr1	104829247	104829874	0.993552413
chr1	104832533	104833373	2.039088659
chr1	104834067	104835349	4.669184169
chr1	104840228	104840918	2.677773966
chr1	104853246	104853772	1.931554485
chr1	104984620	104985265	2.952153466
chr1	105041045	105042005	1.232911118
chr1	105046532	105047271	1.26282721
chr1	105130866	105131307	1.013516185
chr1	105180676	105181343	6.233188619
chr1	105498950	105499260	4.607364166
chr1	105532795	105533526	1.201520635
chr1	105549357	105549782	1.674928665
chr1	105698973	105699601	1.284548522
chr1	105703810	105704419	4.455434223
chr1	105779747	105780338	6.098899161
chr1	105867963	105869018	1.267504778
chr1	105939963	105940819	1.812980964
chr1	105944702	105945245	4.016032351
chr1	106039896	106040216	5.872545768
chr1	107041731	107042882	1.118314926
chr1	107096376	107097082	2.073661082
chr1	107189149	107189397	7.387676649
chr1	107189902	107190431	2.369971467
chr1	107653921	107654842	3.374395755
chr1	107655535	107656343	3.673502188
chr1	107762291	107762859	8.429076834
chr1	107867298	107868511	4.424682304
chr1	107925739	107926509	3.062040488
chr1	107991688	107992545	1.322193933
chr1	107997355	107997822	1.78646355
chr1	108005229	108005691	1.639258077
chr1	108270907	108271200	2.53227301
chr1	108537940	108538104	1.122476296
chr1	108595472	108595694	1.46770049
chr1	108610988	108612092	1.504815117
chr1	108991977	108992197	5.286351281
chr1	109049275	109049504	4.029961834
chr1	109051687	109051959	5.160032966
chr1	109224865	109225370	2.4866186
chr1	109337254	109337466	1.903620201
chr1	109823381	109823586	2.790915721
chr1	109835203	109835444	1.859257428
chr1	109835734	109835960	0.99843158
chr1	109989030	109989633	5.125368739
chr1	110001626	110001942	5.151458352
chr1	110008144	110009478	1.569786135
chr1	110114910	110116332	1.399686816
chr1	110295735	110296623	1.366233778
chr1	110374773	110375146	1.315988473
chr1	110376847	110377148	2.348960453
chr1	110588497	110588940	2.342937998
chr1	111271031	111271773	2.869576013
chr1	112275236	112275508	1.078074641
chr1	112662616	112662915	5.504531307
chr1	112753131	112753566	2.497917813
chr1	112787554	112787947	1.987502529
chr1	112814378	112814528	1.710688765
chr1	112980026	112980638	2.283579077
chr1	113158030	113159170	1.707338285
chr1	113266750	113267735	3.115645058
chr1	113272085	113272623	3.036565929
chr1	113438349	113438606	6.337304282
chr1	113476220	113476865	3.001624293
chr1	114070967	114071153	2.05619502
chr1	114517221	114517878	1.632110726
chr1	114670763	114671545	1.281543574
chr1	114810289	114810900	2.020751588
chr1	114870168	114870972	2.929746092
chr1	115107784	115108564	1.440050176
chr1	115161267	115161767	1.196391886
chr1	115162849	115163303	3.514769004
chr1	115163403	115164176	3.99868056
chr1	115460789	115461523	1.178408536
chr1	115466401	115467315	1.926372064
chr1	115516236	115517178	1.75561238
chr1	115769012	115769767	1.898087964
chr1	115856111	115856513	1.098061024
chr1	116019544	116019914	2.90851139
chr1	116021049	116021574	2.725625722
chr1	116500563	116501235	2.226390745
chr1	116509151	116509365	2.618621728
chr1	116713700	116713896	1.345688826
chr1	116772801	116773278	1.134837832
chr1	116773390	116773842	1.669655542
chr1	116810729	116811226	2.016869197
chr1	116811378	116811626	4.875208183
chr1	116875639	116875762	7.249326809
chr1	116933628	116933860	3.156499336
chr1	117006339	117007502	1.1013802
chr1	117091053	117091175	1.427482734
chr1	117353565	117353935	1.229927368
chr1	117355049	117355332	1.118435697
chr1	117448728	117449325	2.615437673
chr1	117593763	117594234	3.910424457
chr1	117619020	117619766	2.768733483
chr1	117833459	117834103	1.201048429
chr1	117884911	117885777	1.399480079
chr1	118078502	118079036	2.839524005
chr1	118079951	118080693	7.594322077
chr1	118380125	118380459	3.481967789
chr1	118455382	118455562	1.230186235
chr1	118497971	118498475	4.399384637
chr1	118499449	118500748	2.934848094
chr1	118644771	118644915	5.751894014
chr1	118648949	118649203	7.819451249
chr1	118879074	118879458	4.377654881
chr1	119169960	119170568	2.124542139
chr1	119353173	119353992	3.023105449
