chr_name	start	end	delta_methylation
chr10	95195007	95195491	-0.92
chr10	128574502	128574874	-0.92
chr2	12646019	12646498	-0.92
chr2	50200506	50200885	-0.92
chr2	61391026	61391476	-0.92
chr2	67661121	67661896	-0.92
chr2	71871014	71871412	-0.92
chr2	74083001	74083200	-0.92
chr2	117437549	117437967	-0.92
chr2	117907061	117907243	-0.92
chr2	161549531	161549976	-0.92
chr2	176370562	176370879	-0.92
chr4	234781317	234781497	-0.92
chr5	181642039	181642498	-0.92
chr5	185367513	185367998	-0.92
chr5	214083017	214083482	-0.92
chr7	19869016	19869459	-0.92
chr8	90126501	90126986	-0.92
chr1	71251555	71251994	-0.91
chr1	72898637	72899994	-0.91
chr1	104992002	104992380	-0.91
chr1	113245016	113245226	-0.91
chr1	119353188	119353499	-0.91
chr1	126725554	126725984	-0.91
chr1	160030004	160030484	-0.91
chr1	162886011	162886494	-0.91
chr1	197891636	197891982	-0.91
chr10	24270015	24270465	-0.91
chr10	28491510	28491998	-0.91
chr10	42007600	42007985	-0.91
chr10	65227002	65227224	-0.91
chr10	65732046	65732484	-0.91
chr10	69404001	69404500	-0.91
chr10	80139524	80140306	-0.91
chr10	83686502	83686990	-0.91
chr10	83984050	83984240	-0.91
chr10	90423103	90423996	-0.91
chr10	95463526	95463998	-0.91
chr10	96567019	96567494	-0.91
chr10	116258010	116258390	-0.91
chr10	119206020	119206326	-0.91
chr10	126533522	126533917	-0.91
chr10	135330543	135331485	-0.91
chr10	136053001	136053498	-0.91
chr10	137212019	137212467	-0.91
chr10	138628003	138628494	-0.91
chr10	138875007	138875493	-0.91
chr2	10336010	10336498	-0.91
chr2	63641511	63642500	-0.91
chr2	69933024	69933427	-0.91
chr2	87778533	87779446	-0.91
chr2	132334518	132334995	-0.91
chr2	140448024	140448471	-0.91
chr2	141607509	141607953	-0.91
chr2	173443082	173443494	-0.91
chr3	156983544	156983929	-0.91
chr3	160566012	160568960	-0.91
chr5	197528747	197528994	-0.91
chr5	201448002	201448500	-0.91
chr5	214604584	214604972	-0.91
chr6	165813531	165813929	-0.91
chr7	12373003	12373488	-0.91
chr7	18532012	18532451	-0.91
chr7	18608146	18608440	-0.91
chr7	18870104	18870470	-0.91
chr7	20856070	20856366	-0.91
chr7	22369027	22369455	-0.91
chr7	26971517	26972500	-0.91
chr1	102967505	102967982	-0.9
chr1	112722014	112722480	-0.9
chr1	114449501	114449990	-0.9
chr1	115163506	115163875	-0.9
chr1	146399006	146399331	-0.9
chr1	149114622	149114982	-0.9
chr1	163539512	163539987	-0.9
chr1	166751020	166751499	-0.9
chr1	169631055	169631498	-0.9
chr1	199005553	199006000	-0.9
chr1	203343505	203343942	-0.9
chr1	220307583	220307954	-0.9
chr10	24063501	24063981	-0.9
chr10	32079523	32079993	-0.9
chr10	37604025	37604990	-0.9
chr10	80842001	80842500	-0.9
chr10	85645509	85646627	-0.9
chr10	95415047	95415493	-0.9
chr10	98131005	98131483	-0.9
chr10	113770003	113770356	-0.9
chr10	117605801	117605988	-0.9
chr10	120219580	120219979	-0.9
chr10	121998044	121998404	-0.9
chr2	30202175	30202461	-0.9
chr2	44320508	44320986	-0.9
chr2	52722513	52722955	-0.9
chr2	70029010	70029486	-0.9
chr2	81380006	81380975	-0.9
chr2	101092537	101092984	-0.9
chr2	104150514	104150815	-0.9
chr2	117423104	117423500	-0.9
chr2	142524029	142524938	-0.9
chr2	150925582	150925957	-0.9
chr2	178801062	178801486	-0.9
chr2	183078076	183078479	-0.9
chr3	151905342	151905496	-0.9
chr4	232255050	232255178	-0.9
chr5	189244546	189245496	-0.9
chr7	6595537	6595988	-0.9
chr7	12454170	12454492	-0.9
chr7	12455024	12455472	-0.9
chr7	27575001	27575489	-0.9
chr7	179364019	179364458	-0.9
chr8	81773053	81773382	-0.9
chr1	83554516	83555489	-0.89
chr1	88438501	88438799	-0.89
chr1	95749623	95749990	-0.89
chr1	99678002	99678353	-0.89
chr1	115320738	115321490	-0.89
chr1	124215554	124216216	-0.89
chr1	143487575	143487998	-0.89
chr1	146024086	146024402	-0.89
chr1	148657605	148657972	-0.89
chr1	150118597	150118982	-0.89
chr1	157028501	157028997	-0.89
chr1	168931229	168931489	-0.89
chr1	213635004	213635499	-0.89
chr10	15391002	15391494	-0.89
chr10	19305592	19306120	-0.89
chr10	26931008	26931485	-0.89
chr10	50394509	50394975	-0.89
chr10	50512033	50513408	-0.89
chr10	55545526	55545989	-0.89
chr10	72670024	72670491	-0.89
chr10	74757014	74757377	-0.89
chr10	83533502	83535961	-0.89
chr10	134535018	134535476	-0.89
chr10	146257006	146257186	-0.89
chr2	70152008	70152495	-0.89
chr2	70260284	70260993	-0.89
chr2	70463530	70464000	-0.89
chr2	98238503	98239494	-0.89
chr2	116599824	116600468	-0.89
chr2	120611015	120611493	-0.89
chr2	141233090	141233472	-0.89
chr2	147772171	147772500	-0.89
chr2	148562534	148562974	-0.89
chr2	154701001	154701496	-0.89
chr2	161362101	161362956	-0.89
chr5	181563070	181563492	-0.89
chr5	187579001	187579499	-0.89
chr7	19829602	19830473	-0.89
chr7	179475088	179475453	-0.89
chr1	71333003	71333422	-0.88
chr1	85393513	85393926	-0.88
chr1	93741536	93742497	-0.88
chr1	100171501	100172990	-0.88
chr1	107221739	107222493	-0.88
chr1	109940007	109940413	-0.88
chr1	159704001	159704947	-0.88
chr10	14159036	14160000	-0.88
chr10	19602020	19602488	-0.88
chr10	58744501	58744979	-0.88
chr10	66205001	66205409	-0.88
chr10	72473033	72473476	-0.88
chr10	76133003	76133469	-0.88
chr10	81464016	81465988	-0.88
chr10	85875020	85875445	-0.88
chr10	93940006	93940981	-0.88
chr10	96021001	96021918	-0.88
chr10	99919008	99919487	-0.88
chr10	107935535	107935992	-0.88
chr10	114663119	114663457	-0.88
chr10	125387008	125387499	-0.88
chr2	14039040	14039469	-0.88
chr2	59834013	59834497	-0.88
chr2	75051003	75051441	-0.88
chr2	84983007	84983923	-0.88
chr2	99875045	99875954	-0.88
chr2	109810508	109810975	-0.88
chr2	113979021	113979999	-0.88
chr2	114396506	114396997	-0.88
chr2	114899540	114900493	-0.88
chr2	123132501	123133375	-0.88
chr2	149437007	149437500	-0.88
chr2	150349160	150350376	-0.88
chr2	159230513	159230996	-0.88
chr2	168501070	168501498	-0.88
chr2	177640506	177640911	-0.88
chr2	179166082	179166490	-0.88
chr2	240874151	240874500	-0.88
chr2	242908071	242908962	-0.88
chr3	162853036	162853990	-0.88
chr5	2543010	2543368	-0.88
chr5	2671085	2671401	-0.88
chr5	193888006	193888491	-0.88
chr7	15995502	15996000	-0.88
chr7	181123024	181123430	-0.88
chr8	91854035	91854500	-0.88
chr1	72880516	72880969	-0.87
chr1	73454634	73455000	-0.87
chr1	92967002	92967389	-0.87
chr1	110191529	110192479	-0.87
chr1	113270011	113270487	-0.87
chr1	124497503	124498497	-0.87
chr1	149124509	149124968	-0.87
chr1	159637012	159638000	-0.87
chr1	176154045	176154421	-0.87
chr1	218696502	218696912	-0.87
chr1	222021504	222022399	-0.87
chr10	11884037	11884988	-0.87
chr10	15382006	15382469	-0.87
chr10	15395027	15395453	-0.87
chr10	35029505	35030000	-0.87
chr10	48102002	48102496	-0.87
chr10	51235017	51235394	-0.87
chr10	51318050	51318497	-0.87
chr10	51537538	51538488	-0.87
chr10	55571509	55571999	-0.87
chr10	73628692	73629845	-0.87
chr10	73919517	73920487	-0.87
chr10	99569519	99569994	-0.87
chr10	116047501	116048492	-0.87
chr10	133789115	133789500	-0.87
chr2	16070512	16070997	-0.87
chr2	18468566	18468887	-0.87
chr2	26000504	26000988	-0.87
chr2	33111018	33111482	-0.87
chr2	57292050	57292408	-0.87
chr2	57603206	57603988	-0.87
chr2	69808133	69808989	-0.87
chr2	99680504	99680997	-0.87
chr2	110640540	110641984	-0.87
chr2	113821013	113821487	-0.87
chr2	122415760	122416444	-0.87
chr2	128971600	128972497	-0.87
chr2	156040058	156040395	-0.87
chr2	156702514	156702985	-0.87
chr2	169676540	169676999	-0.87
chr2	172225514	172226939	-0.87
chr2	172640513	172640995	-0.87
chr2	177216510	177216999	-0.87
chr4	234782005	234782500	-0.87
chr6	165887029	165887497	-0.87
chr7	15915072	15915429	-0.87
chr7	16044501	16044969	-0.87
chr7	181506633	181506954	-0.87
chr1	112720511	112721491	-0.86
chr1	117533246	117533997	-0.86
chr1	117781006	117781483	-0.86
chr1	150128587	150128928	-0.86
chr1	157350114	157351000	-0.86
chr1	160088536	160091492	-0.86
chr1	163695520	163695965	-0.86
chr1	166067501	166067988	-0.86
chr1	190074054	190074999	-0.86
chr1	207472508	207473411	-0.86
chr10	22053058	22053495	-0.86
chr10	22238043	22238309	-0.86
chr10	28477033	28477495	-0.86
chr10	30959741	30960407	-0.86
chr10	35078017	35078464	-0.86
chr10	39793507	39794491	-0.86
chr10	45548720	45548993	-0.86
chr10	79576011	79576499	-0.86
chr10	92911539	92913000	-0.86
chr10	103227516	103228484	-0.86
chr10	103646032	103647176	-0.86
chr10	111791064	111791497	-0.86
chr10	122294505	122295486	-0.86
chr10	129471046	129471701	-0.86
chr10	131399518	131399997	-0.86
chr10	136021510	136021989	-0.86
chr2	9799041	9800500	-0.86
chr2	10971504	10972451	-0.86
chr2	11132111	11132947	-0.86
chr2	11556005	11556447	-0.86
chr2	12563565	12563998	-0.86
chr2	29362522	29362948	-0.86
chr2	37326580	37327499	-0.86
chr2	48660511	48660984	-0.86
chr2	69810012	69810346	-0.86
chr2	78357530	78357901	-0.86
chr2	94675501	94676369	-0.86
chr2	98555004	98555500	-0.86
chr2	122785001	122785992	-0.86
chr2	124183501	124183986	-0.86
chr2	156420519	156420925	-0.86
chr2	172156095	172156413	-0.86
chr5	1178143	1178454	-0.86
chr5	2012558	2012907	-0.86
chr5	194294503	194294991	-0.86
chr5	198050502	198050997	-0.86
chr6	163758007	163758457	-0.86
chr7	13070501	13070998	-0.86
chr7	18122660	18122998	-0.86
chr7	18371061	18371404	-0.86
chr7	24194522	24195000	-0.86
chr7	67765512	67766000	-0.86
chr1	71413092	71413412	-0.85
chr1	73480033	73480480	-0.85
chr1	93276501	93277486	-0.85
chr1	118270527	118270990	-0.85
chr1	118454132	118454482	-0.85
chr1	146969004	146969996	-0.85
chr1	148442504	148444000	-0.85
chr1	150626012	150626499	-0.85
chr1	157113501	157114997	-0.85
chr1	164778009	164778390	-0.85
chr1	201466501	201466996	-0.85
chr1	205674026	205675441	-0.85
chr10	11664040	11664456	-0.85
chr10	41200528	41201000	-0.85
chr10	42017505	42017983	-0.85
chr10	45578042	45578996	-0.85
chr10	56674696	56674991	-0.85
chr10	67891022	67891491	-0.85
chr10	68353589	68354998	-0.85
chr10	79997034	79997492	-0.85
chr10	113704515	113705457	-0.85
chr10	117396016	117396494	-0.85
chr10	119216583	119216993	-0.85
chr10	120198006	120198478	-0.85
chr10	138051506	138051922	-0.85
chr10	140510136	140510498	-0.85
chr2	48650606	48652433	-0.85
chr2	59835006	59835977	-0.85
chr2	61473513	61475000	-0.85
chr2	106839037	106839494	-0.85
chr2	120675242	120675439	-0.85
chr2	128126221	128126457	-0.85
chr2	147109004	147109500	-0.85
chr2	176390050	176390991	-0.85
chr2	241288185	241289000	-0.85
chr5	180477522	180477949	-0.85
chr5	213691553	213691920	-0.85
chr6	162754503	162755252	-0.85
chr7	11812001	11812983	-0.85
chr8	78414027	78414996	-0.85
chr1	86133538	86134280	-0.84
chr1	88243572	88244899	-0.84
chr1	96114007	96115236	-0.84
chr1	115310532	115311500	-0.84
chr1	127254314	127256500	-0.84
chr1	129362504	129362990	-0.84
chr1	155230032	155230500	-0.84
chr1	163590005	163590481	-0.84
chr1	167713001	167713465	-0.84
chr1	170292008	170292491	-0.84
chr1	170430025	170431422	-0.84
chr1	201355515	201355859	-0.84
chr1	204391503	204391961	-0.84
chr10	23659525	23659981	-0.84
chr10	34764022	34764495	-0.84
chr10	38420501	38420943	-0.84
chr10	38460575	38460993	-0.84
chr10	40762055	40762485	-0.84
chr10	44051001	44052474	-0.84
chr10	46062145	46063448	-0.84
chr10	52237017	52237716	-0.84
chr10	66113038	66113496	-0.84
chr10	96662504	96662985	-0.84
chr10	123460019	123460408	-0.84
chr2	14464071	14464307	-0.84
chr2	29172503	29172895	-0.84
chr2	30705384	30705467	-0.84
chr2	49071546	49071895	-0.84
chr2	57702628	57703903	-0.84
chr2	58055501	58056487	-0.84
chr2	65200642	65200995	-0.84
chr2	70185556	70186460	-0.84
chr2	71836059	71836971	-0.84
chr2	99190522	99190980	-0.84
chr2	105679501	105679983	-0.84
chr2	106387243	106387484	-0.84
chr2	111233507	111234449	-0.84
chr2	128052012	128052949	-0.84
chr2	133842503	133843494	-0.84
chr2	134103007	134103999	-0.84
chr2	147118004	147118462	-0.84
chr2	160678726	160678989	-0.84
chr2	172214509	172215488	-0.84
chr3	163978072	163978492	-0.84
chr4	231020010	231020993	-0.84
chr5	181430616	181430997	-0.84
chr5	191222535	191222981	-0.84
chr7	16042503	16043974	-0.84
chr7	16073543	16074500	-0.84
chr7	18620048	18620450	-0.84
chr7	25774501	25774998	-0.84
chr8	93881536	93882491	-0.84
chr1	89014522	89014998	-0.83
chr1	96474521	96474981	-0.83
chr1	116757009	116757268	-0.83
chr1	140267576	140268954	-0.83
chr1	142829508	142830890	-0.83
chr1	143486515	143486999	-0.83
chr1	213750524	213751494	-0.83
chr10	15729116	15729495	-0.83
chr10	19266528	19267476	-0.83
chr10	24752079	24752494	-0.83
chr10	52172026	52173000	-0.83
chr10	56516555	56517834	-0.83
chr10	62094003	62094485	-0.83
chr10	65901502	65901999	-0.83
chr10	82955501	82955996	-0.83
chr10	83370701	83370993	-0.83
chr10	98125074	98125489	-0.83
chr10	101684156	101684994	-0.83
chr10	114460555	114460995	-0.83
chr2	12838008	12838494	-0.83
chr2	73281658	73281985	-0.83
chr2	79636007	79636485	-0.83
chr2	86116008	86116499	-0.83
chr2	98564531	98564958	-0.83
chr2	99203004	99203466	-0.83
chr2	104971523	104972490	-0.83
chr2	105553061	105553490	-0.83
chr2	106916503	106917358	-0.83
chr2	109311570	109311992	-0.83
chr2	111806032	111807156	-0.83
chr2	112681501	112682623	-0.83
chr2	117905010	117905482	-0.83
chr2	138391100	138391498	-0.83
chr2	141231650	141232443	-0.83
chr2	147433530	147433996	-0.83
chr2	160729703	160730464	-0.83
chr2	164566055	164566497	-0.83
chr2	173764213	173764450	-0.83
chr2	175327114	175327494	-0.83
chr2	243310527	243312375	-0.83
chr3	161626541	161626957	-0.83
chr3	167273015	167273489	-0.83
chr5	2274573	2275481	-0.83
chr7	9883014	9883340	-0.83
chr7	16071619	16071968	-0.83
chr7	18840021	18841491	-0.83
chr8	77927001	77927469	-0.83
chr8	79677083	79677458	-0.83
chr8	88275506	88276464	-0.83
chr1	88481624	88481928	-0.82
chr1	100057242	100057971	-0.82
chr1	105699023	105699478	-0.82
chr1	124798016	124798456	-0.82
chr1	126736041	126736499	-0.82
chr1	149520600	149520926	-0.82
chr1	149546505	149547000	-0.82
chr1	164972547	164972992	-0.82
chr1	170681055	170681495	-0.82
chr1	197057012	197057449	-0.82
chr1	204392504	204392947	-0.82
chr1	206078554	206078961	-0.82
chr10	10494520	10494954	-0.82
chr10	14677533	14677777	-0.82
chr10	16067503	16067995	-0.82
chr10	19382510	19382982	-0.82
chr10	24950005	24950910	-0.82
chr10	34102003	34102281	-0.82
chr10	36793006	36793496	-0.82
chr10	53306504	53307000	-0.82
chr10	53542512	53543492	-0.82
chr10	130023524	130023991	-0.82
chr2	13433517	13433962	-0.82
chr2	18625042	18625482	-0.82
chr2	49075532	49075961	-0.82
chr2	79994002	79994488	-0.82
chr2	80113002	80113992	-0.82
chr2	88942523	88942987	-0.82
chr2	94282520	94283496	-0.82
chr2	97296543	97296982	-0.82
chr2	117703665	117704997	-0.82
chr2	145131004	145131432	-0.82
chr2	167831020	167832468	-0.82
chr2	169726508	169728000	-0.82
chr2	177364029	177365387	-0.82
chr3	156233502	156234787	-0.82
chr3	156351530	156352221	-0.82
chr5	166528543	166528922	-0.82
chr5	189097519	189097953	-0.82
chr5	191240019	191240443	-0.82
chr5	197529515	197529965	-0.82
chr5	215005007	215005840	-0.82
chr7	18167574	18167974	-0.82
chr7	28129054	28129933	-0.82
chr1	102354503	102354944	-0.81
chr1	114475512	114475963	-0.81
chr1	115098515	115099498	-0.81
chr1	115312106	115312963	-0.81
chr1	143508636	143509496	-0.81
chr1	151634523	151635494	-0.81
chr1	165170074	165170484	-0.81
chr1	198649018	198649435	-0.81
chr1	199802508	199803330	-0.81
chr1	200427009	200427467	-0.81
chr1	204744506	204744791	-0.81
chr1	204947533	204947988	-0.81
chr10	14720073	14720493	-0.81
chr10	21377002	21377984	-0.81
chr10	32398001	32398986	-0.81
chr10	36509013	36509997	-0.81
chr10	41240501	41241482	-0.81
chr10	53013567	53014954	-0.81
chr10	54800021	54800950	-0.81
chr10	87316160	87316367	-0.81
chr10	88740512	88740973	-0.81
chr10	100073060	100073441	-0.81
chr10	135745116	135745439	-0.81
chr2	11651656	11652377	-0.81
chr2	13309521	13309989	-0.81
chr2	33154075	33154409	-0.81
chr2	71161001	71161449	-0.81
chr2	71579001	71579462	-0.81
chr2	76068037	76068994	-0.81
chr2	87863015	87863492	-0.81
chr2	106199636	106199963	-0.81
chr2	122967004	122967975	-0.81
chr2	132542123	132543000	-0.81
chr2	142691209	142691997	-0.81
chr2	149588056	149588472	-0.81
chr2	170241001	170241977	-0.81
chr2	171243506	171243838	-0.81
chr2	174639141	174639500	-0.81
chr2	183136028	183136435	-0.81
chr3	161957557	161958490	-0.81
chr5	975508	976499	-0.81
chr5	194446558	194446963	-0.81
chr5	217124664	217124995	-0.81
chr6	160495063	160495485	-0.81
chr7	7082525	7082993	-0.81
chr7	18646526	18646996	-0.81
chr7	21637501	21637993	-0.81
chr7	180080008	180080463	-0.81
chr1	105546004	105546485	0.81
chr1	131997010	131997481	0.81
chr1	145972001	145972472	0.81
chr1	148502340	148502997	0.81
chr1	150720056	150721000	0.81
chr1	157832526	157832991	0.81
chr1	157900570	157901972	0.81
chr1	161708006	161709480	0.81
chr1	165072007	165072208	0.81
chr1	214438512	214439473	0.81
chr1	221064010	221065434	0.81
chr10	55977630	55978493	0.81
chr10	83842806	83844000	0.81
chr10	96523647	96523998	0.81
chr2	27587509	27588461	0.81
chr2	31713044	31713500	0.81
chr2	32679645	32679921	0.81
chr2	33920547	33920966	0.81
chr2	35517014	35517423	0.81
chr2	93945016	93945498	0.81
chr2	103561545	103562402	0.81
chr2	117066006	117066489	0.81
chr2	122442531	122443000	0.81
chr2	130082514	130083499	0.81
chr2	147206003	147206452	0.81
chr2	156534575	156534976	0.81
chr3	159496007	159496473	0.81
chr4	179075030	179075465	0.81
chr4	233496196	233496482	0.81
chr5	118511	118918	0.81
chr7	21487004	21487496	0.81
chr8	77861009	77861459	0.81
chr8	96508055	96508491	0.81
chr1	84401203	84402312	0.82
chr1	96358533	96359000	0.82
chr1	114071514	114071980	0.82
chr1	196517503	196517968	0.82
chr1	202955302	202956383	0.82
chr1	211399009	211399481	0.82
chr10	19051113	19051994	0.82
chr10	31110538	31110997	0.82
chr10	40896046	40897419	0.82
chr10	42751227	42752475	0.82
chr10	45008128	45009000	0.82
chr10	54733047	54733490	0.82
chr10	68648556	68649496	0.82
chr10	72075739	72076947	0.82
chr10	72082104	72082992	0.82
chr10	80329017	80329461	0.82
chr10	84568010	84568496	0.82
chr10	117847595	117848000	0.82
chr10	122300536	122300968	0.82
chr10	128559001	128559673	0.82
chr10	131448505	131448961	0.82
chr10	137730034	137730472	0.82
chr2	34350196	34351372	0.82
chr2	57059005	57059500	0.82
chr2	73527501	73527711	0.82
chr2	79078578	79079419	0.82
chr2	81166002	81166997	0.82
chr2	86885002	86886092	0.82
chr2	103781528	103781969	0.82
chr2	138487007	138487398	0.82
chr2	139717509	139717959	0.82
chr2	157667501	157668415	0.82
chr3	209274002	209274317	0.82
chr8	89664159	89664939	0.82
chr8	97674510	97675000	0.82
chr1	142256567	142257971	0.83
chr1	197068507	197068993	0.83
chr1	206851529	206851926	0.83
chr10	15705713	15706999	0.83
chr10	18998058	18998858	0.83
chr10	57030506	57030983	0.83
chr10	86136510	86137000	0.83
chr10	89742022	89742476	0.83
chr10	122848528	122848968	0.83
chr10	138878003	138878498	0.83
chr2	14132008	14132485	0.83
chr2	25252506	25252991	0.83
chr2	38191571	38192490	0.83
chr2	38974049	38974980	0.83
chr2	85303508	85304496	0.83
chr2	85805024	85805145	0.83
chr2	102045011	102045995	0.83
chr2	110931001	110931982	0.83
chr2	117324002	117324998	0.83
chr2	124004521	124005328	0.83
chr2	170756153	170758872	0.83
chr2	172273225	172274495	0.83
chr5	1876017	1876989	0.83
chr5	181376103	181376500	0.83
chr5	184324638	184324951	0.83
chr6	162800502	162800923	0.83
chr7	18165002	18165957	0.83
chr7	20691533	20691972	0.83
chr8	93469087	93469934	0.83
chr8	97524547	97524998	0.83
chr1	95672042	95672498	0.84
chr1	126276001	126276496	0.84
chr1	131513509	131514487	0.84
chr1	160092052	160092449	0.84
chr1	170521088	170521889	0.84
chr1	209855526	209855986	0.84
chr10	50516623	50517494	0.84
chr10	115145514	115145814	0.84
chr10	116300520	116300982	0.84
chr10	129394042	129394485	0.84
chr10	133843044	133843488	0.84
chr2	32635008	32635496	0.84
chr2	55433003	55433839	0.84
chr2	81158042	81158792	0.84
chr2	85636522	85637500	0.84
chr2	88035757	88036489	0.84
chr2	111687504	111687999	0.84
chr2	112162549	112162996	0.84
chr2	116024058	116024495	0.84
chr2	135557003	135557953	0.84
chr2	168428504	168428981	0.84
chr2	179447519	179448000	0.84
chr3	150927566	150927989	0.84
chr5	211668008	211668463	0.84
chr5	216632506	216632953	0.84
chr7	7014578	7016477	0.84
chr7	21534558	21534980	0.84
chr7	180481004	180481973	0.84
chr7	181987011	181988490	0.84
chr9	31080015	31080456	0.84
chr1	74095501	74096490	0.85
chr1	92072011	92072400	0.85
chr1	121924739	121925926	0.85
chr1	201756536	201756993	0.85
chr1	202547023	202548195	0.85
chr1	203182670	203182983	0.85
chr1	211480512	211480817	0.85
chr1	220320120	220321000	0.85
chr10	17078234	17079399	0.85
chr10	49101609	49101990	0.85
chr10	72946118	72946498	0.85
chr10	117663552	117663988	0.85
chr2	11474049	11474483	0.85
chr2	12229016	12229464	0.85
chr2	15734633	15734987	0.85
chr2	17156614	17156896	0.85
chr2	32534587	32534988	0.85
chr2	32685003	32685486	0.85
chr2	42908037	42908487	0.85
chr2	74346569	74347499	0.85
chr2	150289008	150289494	0.85
chr2	153602001	153602956	0.85
chr2	156517140	156517465	0.85
chr2	158488014	158488959	0.85
chr4	178009517	178009999	0.85
chr5	68271047	68271470	0.85
chr5	185028001	185028895	0.85
chr5	194076597	194076997	0.85
chr5	197941011	197941445	0.85
chr7	15489502	15489866	0.85
chr8	83625515	83626000	0.85
chr8	92686525	92686959	0.85
chr1	104985662	104985993	0.86
chr1	143158024	143158843	0.86
chr1	190541003	190541444	0.86
chr1	192668072	192668500	0.86
chr1	194562018	194562954	0.86
chr1	195016011	195016490	0.86
chr1	201440533	201440989	0.86
chr1	220059501	220059989	0.86
chr1	221624005	221624411	0.86
chr10	19208506	19209000	0.86
chr10	28367012	28367487	0.86
chr10	103794104	103794441	0.86
chr2	26418514	26419000	0.86
chr2	30857563	30857995	0.86
chr2	33446507	33446886	0.86
chr2	59561524	59561645	0.86
chr2	69751030	69751479	0.86
chr2	112973674	112973963	0.86
chr2	150641524	150641933	0.86
chr2	242912183	242913468	0.86
chr3	158448077	158448485	0.86
chr3	159501007	159501484	0.86
chr4	230987027	230987457	0.86
chr5	200287501	200287963	0.86
chr6	160348022	160348500	0.86
chr1	2118127	2118428	0.87
chr1	72836501	72836989	0.87
chr1	114965507	114965983	0.87
chr1	118285049	118285418	0.87
chr1	161710032	161711415	0.87
chr1	161750086	161750497	0.87
chr1	188804519	188805000	0.87
chr1	192430510	192430997	0.87
chr1	194910056	194910499	0.87
chr1	195290016	195290406	0.87
chr1	203428003	203428448	0.87
chr1	210163033	210163499	0.87
chr1	213628138	213628465	0.87
chr1	221117597	221117989	0.87
chr10	23950513	23951325	0.87
chr10	31342681	31343960	0.87
chr10	57717002	57717386	0.87
chr10	59955605	59956946	0.87
chr10	128443592	128444482	0.87
chr2	30219012	30220499	0.87
chr2	33783008	33783483	0.87
chr2	37261009	37261340	0.87
chr2	70453219	70453319	0.87
chr2	122044565	122045000	0.87
chr2	126883003	126884222	0.87
chr2	130868022	130869460	0.87
chr2	145279030	145279495	0.87
chr2	166823384	166824836	0.87
chr2	177441501	177441997	0.87
chr3	149747001	149747495	0.87
chr3	151669506	151669973	0.87
chr3	155966554	155966940	0.87
chr5	216477535	216477807	0.87
chr6	164796502	164796904	0.87
chr7	180106507	180107000	0.87
chr1	118125507	118125986	0.88
chr1	157892001	157892468	0.88
chr1	195060010	195060480	0.88
chr1	197057627	197057934	0.88
chr1	203009504	203009968	0.88
chr10	88739584	88739993	0.88
chr10	102850507	102850908	0.88
chr10	105044552	105045449	0.88
chr2	12115010	12115500	0.88
chr2	13179034	13179487	0.88
chr2	30168044	30168971	0.88
chr2	34605568	34605979	0.88
chr2	37440044	37440492	0.88
chr2	38672002	38672491	0.88
chr2	111229758	111229986	0.88
chr2	138547506	138548494	0.88
chr2	152655508	152655974	0.88
chr2	241126001	241126424	0.88
