chr_name	start	end	log2FoldChange	padj	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr6	77963439	77965579	-5.89798847804302	4.7482972872457604e-30	MSTRG.42843	Zm00001d036226	GRMZM2G107756	14-3-3-like protein GF14 nu	[source:homolog]
chr2	161882896	161885891	-7.792705445151171	1.44057577344385e-29	MSTRG.17703	Zm00001d005160	GRMZM2G166230		
chr2	22003809	22311232	-3.7848187788348104	6.249878054073921e-29	MSTRG.14502	Zm00001d002774	GRMZM5G859526		
chr1	83974092	84145251	-3.97500950628513	6.34423446629856e-29	MSTRG.3001	Zm00001d029722	GRMZM2G125304		
chr5	241541	254837	5.24804243037209	8.249495496963578e-29	MSTRG.34314	Zm00001d012801	GRMZM2G309624	TRF-like 10	[source:homolog]
chr2	47886548	47891133	-4.24001975890235	2.18659144983135e-28	MSTRG.15382	Zm00001d003555	GRMZM2G028258	Potassium channel SKOR	[source:homolog]
chr1	145543677	145545608	3.66612638391784	1.71553242065759e-27	MSTRG.3928	Zm00001d030577	GRMZM2G093020	Light-inducible protein CPRF-2  	 [source: RefGen_v3] 
chr10	80316771	80330930	-5.734971515287241	6.27588739458867e-27	MSTRG.10874	Zm00001d024612	GRMZM2G054397	Ras-related protein RABH1b	[source:homolog]
chr2	31857827	31860685	-3.91458039891955	6.30073649083109e-27	MSTRG.14865	Zm00001d003090	GRMZM2G375487	NADP-dependent malic enzyme 4 chloroplastic	[source:homolog]
chr6	162624101	162630870	-6.62667621481864	6.569222536103669e-26	MSTRG.45858	Zm00001d038692	GRMZM2G134846	Unknow protein	[source:homolog]
chr2	243376655	243381495	-9.164464985754538	2.32988571760248e-24	MSTRG.20907	Zm00001d007932	GRMZM5G856071	Probable disease resistance protein 	[source:homolog]
chr6	58367181	58371339	6.05357046886204	6.46488949912244e-24	MSTRG.42414	Zm00001d035883	GRMZM2G132882	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2	[source:homolog]
chr1	113434510	113438082	-5.36105814761383	2.2886181865123098e-23	MSTRG.3468	Zm00001d030213	GRMZM2G084825	Protein kinase  	 [source: RefGen_v3] 
chr6	166478543	166903654	-3.4758713832616603	2.77690003223635e-23	MSTRG.45981	Zm00001d038897	GRMZM2G041694	Short-chain dehydrogenase/reductase SDRA	[source:homolog]
chr7	180074502	180162959	-4.62323326748989	5.14170128339253e-22	MSTRG.53413	Zm00001d022563	GRMZM2G113036	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
chr6	73478014	73479134	3.7618551683707704	2.4680777965278196e-21	MSTRG.42733	Zm00001d036125	GRMZM2G014705	early nodulin-related	[source:homolog]
chr10	92329955	92563002	-6.289278091450571	3.7228467059028e-21	MSTRG.11145	Zm00001d024885	GRMZM2G176998	Putative WD40-like beta propeller repeat family protein  	 [source: RefGen_v3] 
chr3	31401124	31416382	3.35929952482998	1.2882545310142799e-20	MSTRG.22032	Zm00001d040189	GRMZM2G062650	 nrp1;no-apical-meristem-related protein1: nactf128 locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) 	 which also provided the mappings to the B73_Reference Genome sequence v2 gene models.
chr10	96325740	96327888	4.87877026761802	2.0404333581871398e-20	MSTRG.11277	Zm00001d024946	GRMZM2G148441	 fnsii1;flavone synthase typeII1: Encodes a flavone synthase that is of the oxygen- and NADPH-dependent cytochrome P450 membrane-bound monooxygenase class	 [source: characterized gene (MaizeGDB_09082017)]
chr2	48477187	48727278	-3.31664820810748	2.4849605981679197e-20	MSTRG.15400	Zm00001d003572	GRMZM2G147158	Calmodulin-binding protein 60 C	[source:homolog]
chr3	152750112	152755325	-4.012443481445319	2.4849605981679197e-20	MSTRG.24408	Zm00001d042134	GRMZM2G116554	Amino-acid permease BAT1	[source:homolog]
chr2	165791651	165919841	4.00221807015725	2.6491462992080598e-20	MSTRG.17816	Zm00001d005252	GRMZM2G073928	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3	[source:homolog]
chr2	20723662	20727230	3.8188443419270497	4.737872347885519e-20	MSTRG.14229	Zm00001d002735	GRMZM2G458974	40S ribosomal protein S7-2	[source:homolog]
chr9	85187676	85190971	4.94080889461153	5.09220622138692e-20	MSTRG.58812	Zm00001d046373	GRMZM2G088096	Peroxisomal nicotinamide adenine dinucleotide carrier	[source:homolog]
chr5	993811	1079596	-3.09417116943294	8.00628156891909e-20	MSTRG.36030	Zm00001d012847	GRMZM2G013200	Sec14p-like phosphatidylinositol transfer family protein	[source:homolog]
chr7	160066192	160069703	3.4218899044193103	2.12307753782831e-19	MSTRG.50251	Zm00001d021687	GRMZM2G077008	Protein EIN4	[source:homolog]
chr5	49133	63649	9.56375459377717	2.5874695676145896e-19	MSTRG.34329	Zm00001d012797	GRMZM2G054678		
chr5	35783	42435	6.31978492798346	3.15620524918432e-19	MSTRG.34327	Zm00001d012795	GRMZM2G356260	SH2 domain protein B	[source:homolog]
chr2	17149596	17153986	5.70265601704496	5.02943032849686e-19	MSTRG.14036	Zm00001d002625	GRMZM2G128179	Probable methyltransferase PMT15	[source:homolog]
chr10	131295009	131554470	-3.10631745453757	1.29326989915029e-18	MSTRG.12399	Zm00001d025855	GRMZM2G051866		
chr2	169911447	170146326	-2.7885364144004	1.51172928481192e-18	MSTRG.17919	Zm00001d005343	GRMZM2G104999	Nucleoside N-ribohydrolase 3%3B Pyrimidine-specific ribonucleoside hydrolase rihB  	 [source: RefGen_v3] 
chr10	117395751	117399868	5.59074893874567	2.6704208903566005e-18	MSTRG.11876	Zm00001d025404	GRMZM2G007633		
chr5	3537738	3542307	3.30292668693593	2.80616605086504e-18	MSTRG.36234	Zm00001d013035	AC210013.4_FG003	Cycloartenol-C-24-methyltransferase	[source:homolog]
chr10	120429339	120687831	6.524133867790719	5.57245559808642e-18	MSTRG.11969	Zm00001d025490	GRMZM2G446201	 zar1;Zea mays ARGOS1: affects yield	 and response to drought
chr2	23485039	23594907	-7.90184131509183	7.79632474006702e-18	MSTRG.14554	Zm00001d002816	GRMZM2G109262	Lactoylglutathione lyase / glyoxalase I family protein	[source:homolog]
chr1	196232121	196312155	-3.67408871230005	8.74344535566599e-18	MSTRG.5179	Zm00001d031619	GRMZM2G114841	65-kDa microtubule-associated protein 8	[source:homolog]
chr3	168688360	168714684	8.63636377264408	9.49075467710195e-18	MSTRG.24800	Zm00001d042470	GRMZM2G113264	Protein kinase superfamily protein	[source:homolog]
chr2	33774188	33940012	-2.73216573374179	1.59486514201387e-17	MSTRG.14935	Zm00001d003148	GRMZM2G457697	Enhancer of rudimentary homolog  	 [source: RefGen_v3] 
chr8	88538453	88540943	-2.9147338260447597	1.64056870066264e-17	MSTRG.52813	Zm00001d009902	GRMZM2G023520	DUF538 family protein	[source:homolog]
chr4	183208067	183308980	2.73185310068775	2.0054495403014e-17	MSTRG.32114	Zm00001d052206	GRMZM2G149422	Protein EXORDIUM	[source:homolog]
chr6	166057112	166060145	4.71577644726553	2.26588415478335e-17	MSTRG.45950	Zm00001d038863	GRMZM2G094892	Transcription factor bHLH87	[source:homolog]
chr6	95592329	95594036	5.01950477016535	9.785577444758791e-17	MSTRG.43335	Zm00001d036628	GRMZM2G054998	Single-stranded nucleic acid binding R3H protein	[source:homolog]
chr1	63372703	63375212	-3.0236411570804704	1.59427684432653e-16	MSTRG.2309	Zm00001d029241	GRMZM5G822100	Flavonoid 3-monooxygenase  	 [source: RefGen_v3] 
chr3	153853662	153899622	-4.34642478366472	1.59427684432653e-16	MSTRG.24429	Zm00001d042150	GRMZM2G170689	S-formylglutathione hydrolase	[source:homolog]
chr10	127556445	127568783	-2.87895494840398	2.14745429446271e-16	MSTRG.12252	Zm00001d025722	GRMZM2G306348	ATP-dependent DNA helicase Q-like 5	[source:homolog]
chr10	17272563	17277089	-4.78946263475204	2.55944195188202e-16	MSTRG.9702	Zm00001d023724	GRMZM5G856142		
B73V4_ctg150	48646	51164	-2.8858421394897698	4.59139347450002e-16	MSTRG.61167	Zm00001d000001	GRMZM5G851266	ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
chr8	30324369	30325517	-5.552633839599661	6.55609414325002e-16	MSTRG.51722	Zm00001d009019	GRMZM2G114484	Selenium-binding protein 3	[source:homolog]
chr10	105468350	105676694	4.65377798005278	6.707589444527969e-16	MSTRG.11537	Zm00001d025129	GRMZM2G126496	Short-chain dehydrogenase TIC 32 chloroplastic	[source:homolog]
chr8	63093246	63106876	3.44294630890616	8.96554160148613e-16	MSTRG.52203	Zm00001d009403	GRMZM2G130101		
chr8	63093246	63106876	3.44294630890616	8.96554160148613e-16	MSTRG.52203	Zm00001d009404	GRMZM2G084727	aspartate-glutamate racemase family	[source:homolog]
chr1	290215992	290471905	2.68951874679398	4.107237976564929e-15	MSTRG.8386	Zm00001d034356	GRMZM2G308687	 gst5;glutathione transferase5: cDNA	 safener-induced; high activity with fluorodifen herbicide
chr2	38437031	38512545	-2.58398474263555	4.62804836691898e-15	MSTRG.15077	Zm00001d003271	GRMZM2G022413	Peptide methionine sulfoxide reductase  	 [source: RefGen_v3] 
chr1	121788055	122118964	8.749717001023	9.821753124746959e-15	MSTRG.3621	Zm00001d030316	GRMZM2G009465	Proline-rich protein 2	[source:homolog]
chr10	135233565	135243356	-4.048344110734	1.22894984746299e-14	MSTRG.12602	Zm00001d025980	GRMZM2G404367	RNA-metabolising metallo-beta-lactamase family protein	[source:homolog]
chr10	135233565	135243356	-4.048344110734	1.22894984746299e-14	MSTRG.12602	Zm00001d025980	GRMZM2G404375	RNA-metabolising metallo-beta-lactamase family protein	[source:homolog]
chr6	163082996	163225247	-2.6419166379944796	2.18108739459318e-14	MSTRG.45878	Zm00001d038706	GRMZM2G411293		
chr5	39659999	39668339	5.75694540346662	4.0832988117980396e-14	MSTRG.35514	Zm00001d014290	GRMZM2G018558	Leucine aminopeptidase 2 chloroplastic	[source:homolog]
chr10	95451116	95473402	-2.76184032209827	4.4076395775193006e-14	MSTRG.11269	Zm00001d024928	GRMZM2G432335	Zinc finger CCCH domain-containing protein 24	[source:homolog]
chr1	197388665	197549096	2.38485123335124	8.265300394313029e-14	MSTRG.5347	Zm00001d031655	GRMZM2G054252	 nactf48;NAC-transcription factor 48: Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) 	 which also provided the mappings to the B73_Reference Genome sequence v2 gene models.
chr2	18550400	18564143	-2.42938521930484	9.592286509284599e-14	MSTRG.14118	Zm00001d002658	GRMZM2G176647	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
chr5	76581535	76874352	-2.37560272054414	1.0177015153522e-13	MSTRG.37063	Zm00001d015138	GRMZM2G017229		
chr1	109217555	109225051	-6.7536882787721595	1.16804004446102e-13	MSTRG.3383	Zm00001d030154	AC205500.3_FG002		
chr10	12644905	12647331	-2.64768777704149	1.2205430003703698e-13	MSTRG.9570	Zm00001d023625	GRMZM2G102662	Putative cytochrome P450 superfamily protein  	 [source: RefGen_v3] 
chr2	231129787	231130699	4.58884066607724	1.41261892390268e-13	MSTRG.20345	Zm00001d007411	GRMZM2G166776	NADH-ubiquinone reductase complex 1 MLRQ subunit	[source:homolog]
chr10	68324451	68325959	-2.9388573719354802	1.49540626718527e-13	MSTRG.10566	Zm00001d024386	GRMZM2G119783	 xth1;xyloglucan endo-transglycosylase/hydrolase1:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	68592325	68597747	-5.90225045881856	1.9753345331685604e-13	MSTRG.2450	Zm00001d029390	GRMZM5G894031		
chr10	95932744	95935711	2.79976699921255	2.4360408975297e-13	MSTRG.11285	Zm00001d024939	GRMZM2G154509	Phosphoglycerate mutase-like protein	[source:homolog]
chr2	45202980	45209348	-2.3987821914151097	2.61884749530516e-13	MSTRG.15191	Zm00001d003464	GRMZM2G092107		
chr2	153823326	154304430	-2.30621961636202	2.70990663053464e-13	MSTRG.17542	Zm00001d005018	GRMZM2G079127	Protein DETOXIFICATION 21	[source:homolog]
chr10	65976164	65985734	7.61296739202852	2.92336101837269e-13	MSTRG.10518	Zm00001d024348	GRMZM2G149969	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	[source:homolog]
chr2	172032833	172034507	-2.3336889566737797	2.9467399410748e-13	MSTRG.17963	Zm00001d005391	GRMZM2G045706	Cysteine proteinases superfamily protein	[source:homolog]
chr7	160529855	160762133	-2.2777314702077796	3.49964153308972e-13	MSTRG.50265	Zm00001d021702	GRMZM2G058310	Beta-amylase  	 [source: RefGen_v3] 
chr7	160529855	160762133	-2.2777314702077796	3.49964153308972e-13	MSTRG.50265	Zm00001d021703	GRMZM2G058070	 oec2;oxygen evolving complex2:	 [source: characterized gene (MaizeGDB_09082017)]
chr5	191573773	191586780	2.8572806515612204	5.51111229452631e-13	MSTRG.39751	Zm00001d017280	GRMZM2G370991		
chr7	24771085	24772860	3.28406773578083	6.21149819762084e-13	MSTRG.47128	Zm00001d019265	GRMZM2G097030	UDP-glucosyltransferase  	 [source: RefGen_v3] 
chr6	160345561	160353351	4.78402478833849	7.12394039633563e-13	MSTRG.45499	Zm00001d038576	GRMZM2G305159	Calcium-transporting ATPase 4 plasma membrane-type	[source:homolog]
chr2	29397443	29404363	-3.4990538850318504	7.12394039633563e-13	MSTRG.14698	Zm00001d003012	GRMZM2G122618	Nucleotide/sugar transporter family protein	[source:homolog]
chr6	132583294	132587179	-2.3660142751161097	7.363190808285491e-13	MSTRG.44540	Zm00001d037637	GRMZM2G028110	Lactoylglutathione lyase  	 [source: RefGen_v3] 
chr2	223566224	223567878	7.861759011575231	7.60911369130057e-13	MSTRG.20069	Zm00001d007160	GRMZM2G133475	Peroxidase 66  	 [source: RefGen_v3] 
chr10	121727843	121731496	-2.5929537841765096	8.65853475883295e-13	MSTRG.12026	Zm00001d025539	GRMZM2G097504	saposin B domain-containing protein	[source:homolog]
chr6	165996403	166408141	-2.27272814145808	1.04233037542795e-12	MSTRG.45947	Zm00001d038874	GRMZM2G079263	Probable polygalacturonase 	[source:homolog]
chr8	34288925	34542917	-6.56738414860145	1.1701478662870901e-12	MSTRG.51798	Zm00001d009071	GRMZM2G111926	 sweet17b;sugars will eventually be exported transporter17b:	 [source: characterized gene (MaizeGDB_09082017)]
chr10	65886711	65888365	4.77144808570802	1.3120060902257802e-12	MSTRG.10512	Zm00001d024344	GRMZM2G155392		
chr1	69320866	69324800	8.98403238638307	1.46094359420282e-12	MSTRG.2468	Zm00001d029410	GRMZM2G120587	Serine carboxypeptidase-like 51	[source:homolog]
chr7	178054205	178059227	-6.0889796753351	1.4762004043078102e-12	MSTRG.53299	Zm00001d022454	GRMZM5G884316	F-box family protein	[source:homolog]
chr4	5284037	5285944	-6.425074984033519	1.4762004043078102e-12	MSTRG.27758	Zm00001d048774	GRMZM2G081173	Putative polyol transporter 1	[source:homolog]
chr2	171684094	171685002	3.99465470384989	2.55022213123744e-12	MSTRG.17956	Zm00001d005381	GRMZM2G087728		
chr3	158469868	158879876	2.2849180090309904	2.83951766980364e-12	MSTRG.24592	Zm00001d042281	GRMZM2G448834	Secondary cell wall-related glycosyltransferase family 47  	 [source: RefGen_v3] 
chr1	7401558	7659185	2.23621569068866	3.41626311947145e-12	MSTRG.182	Zm00001d027524	GRMZM2G099454	Basic endochitinase B	[source:homolog]
chr2	55646831	55969723	-2.84771557721322	4.32065116334753e-12	MSTRG.15563	Zm00001d003712	GRMZM5G806182	 aasr3;abscisic acid stress ripening3:	 [source: characterized gene (MaizeGDB_09082017)]
chr2	53848905	53854880	3.16553382533999	4.5683999291817895e-12	MSTRG.15510	Zm00001d003677	GRMZM2G147685	Transcription factor bHLH95	[source:homolog]
chr1	211041986	211046442	3.7223679382133903	5.09759663261884e-12	MSTRG.5740	Zm00001d032057	GRMZM2G479318		
chr10	111399535	111412064	-3.83844394141847	5.124322677964809e-12	MSTRG.11655	Zm00001d025253	GRMZM2G079913		
chr2	28743799	28747973	-7.10159134037578	5.56076790101852e-12	MSTRG.14809	Zm00001d002979	GRMZM2G433076	Protein kinase superfamily protein	[source:homolog]
chr8	132970894	132973576	2.81732244453831	5.7980350443305495e-12	MSTRG.54615	Zm00001d010907	GRMZM2G171781	Putative MYB DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
chr1	295272475	295274995	-3.1742479155779098	6.0425231345862e-12	MSTRG.8585	Zm00001d034513	GRMZM2G168833	Lipid binding protein  	 [source: RefGen_v3] 
chr1	57485711	57493258	2.24994805522687	6.96906821634153e-12	MSTRG.2077	Zm00001d029091	GRMZM2G318780	 sus2;sucrose synthase2: Encodes sucrose synthase-2 (SUS2)	 one of 3 loci defined for this function; compare sh1 and sus1.
chr1	200686275	200985986	-2.24328839372612	8.153541561818071e-12	MSTRG.5271	Zm00001d031749	GRMZM2G017110	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	[source:homolog]
chr2	28067456	28084390	2.8922748781282004	8.222116506971808e-12	MSTRG.14775	Zm00001d002954	GRMZM2G113990	Cox19-like CHCH family protein	[source:homolog]
chr5	186410145	186570089	-8.15060596250649	8.592741933266709e-12	MSTRG.39560	Zm00001d017129	GRMZM2G408012		
chr8	64107616	64111865	2.2238446465862998	9.74544102631907e-12	MSTRG.52222	Zm00001d009431	GRMZM2G168681	 fps1;farnesyl pyrophosphate synthase1: endosperm cDNA sequence; two copies detected; up-regulated in endosperm mutants	 o2 and fl2 (Li et al. 1996).
chr1	126797463	126801606	-6.62248469943158	1.1028495046290901e-11	MSTRG.3688	Zm00001d030370	GRMZM2G067929		
chr2	36131190	36140421	2.42753605535698	1.15374214101155e-11	MSTRG.15018	Zm00001d003213	GRMZM2G081053	CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683) Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: XB3 ortholog 2 in Arabidopsis thaliana (TAIR:AT5G57740.1); Has 66374 Blast hits to 25 /.../oteins in 1201 species: Archae - 121; Bacteria - 8133; Metazoa - 29530; Fungi - 5885; Plants - 3349; Viruses - 785; Other Eukaryotes - 18571 (source: NCBI BLink).	[source:homolog]
chr4	155984821	155986408	-2.20786591076277	1.28051311200555e-11	MSTRG.31065	Zm00001d051362	GRMZM2G027098	 tip2a;tonoplast intrinsic protein2:	 [source: characterized gene (MaizeGDB_09082017)]
chr5	1900909	2418959	-2.3380865482486604	1.6548895465873002e-11	MSTRG.36107	Zm00001d012929	GRMZM2G121715	Receptor protein kinase TMK1  	 [source: RefGen_v3] 
chr3	169439385	169441492	7.24550376794944	1.80853247702185e-11	MSTRG.24837	Zm00001d042493	GRMZM2G141632	Hydroxyproline-rich glycoprotein (HRGP)	[source:homolog]
chr1	83199590	83208877	-6.384759540230321	2.15440596217858e-11	MSTRG.2927	Zm00001d029705	GRMZM2G178079	ubiquitin carrier protein 7	[source:homolog]
chr2	23245357	23484661	-2.32365068748843	2.51655560107717e-11	MSTRG.14545	Zm00001d002814	GRMZM2G109217	Polyprotein	[source:homolog]
chr3	28018444	28020104	3.01804146487112	2.66128487620198e-11	MSTRG.21969	Zm00001d040113	GRMZM2G152689	Protein MOTHER of FT and TFL1	[source:homolog]
chr2	63873193	63976426	-4.37801915284842	2.75148904861975e-11	MSTRG.15791	Zm00001d003866	GRMZM2G014695		
chr2	24145622	24150427	-4.569131162476769	2.84196738534467e-11	MSTRG.14583	Zm00001d002830	GRMZM2G394450	Beta-fructofuranosidase 1  	 [source: RefGen_v3] 
chr2	12642236	12649806	-2.9832724003896702	4.10763244556155e-11	MSTRG.14391	Zm00001d002437	GRMZM2G125679		
chr10	4317749	4334715	-5.90008272486407	5.07054833973542e-11	MSTRG.9379	Zm00001d023382	GRMZM2G479967	Replication protein-like	[source:homolog]
chr2	161423235	161427030	6.387064029014111	7.3497626523765e-11	MSTRG.17689	Zm00001d005154	GRMZM2G353091	Putative E3 ubiquitin-protein ligase RF4	[source:homolog]
chr4	78443935	78448740	2.5640855429964904	7.544255369736521e-11	MSTRG.29658	Zm00001d050283	GRMZM2G080178	Sulfate transporter 1.2	[source:homolog]
chr8	172186877	172194791	2.2686292626630298	8.1306455526657e-11	MSTRG.56260	Zm00001d012308	GRMZM2G447876	CDP-diacylglycerol--serine O-phosphatidyltransferase 1	[source:homolog]
chr2	30033564	30282079	6.0483151026008795	8.64652664034682e-11	MSTRG.14827	Zm00001d003045	GRMZM5G882852	Beta-glucosidase 47	[source:homolog]
chr7	67742369	67746412	-7.7473914504429	9.137567379289951e-11	MSTRG.47931	Zm00001d019834	GRMZM2G378883	Sec14p-like phosphatidylinositol transfer family protein	[source:homolog]
chr2	32677111	32684868	2.65668419198614	9.21963928863947e-11	MSTRG.14890	Zm00001d003114	GRMZM2G065899	calcium-binding EF hand family protein	[source:homolog]
chr1	8129042	8130156	3.9165514079953905	1.23410514520373e-10	MSTRG.216	Zm00001d027557	GRMZM2G475059	 gst31;glutathione transferase31: glutathione S-transferase subunit 31; matches PCO132874 (in silico from AF244696) placed by overgo on chromosome 1	 [source: characterized gene (MaizeGDB_09082017)]
chr5	1365984	1369387	-2.2974716587166	1.43331073129514e-10	MSTRG.36060	Zm00001d012867	GRMZM5G851103		
chr1	80665246	80665596	3.1003404874419904	1.45610795218857e-10	MSTRG.2748	Zm00001d029630	GRMZM2G401328	 psei6;cystatin6:	 [source: characterized gene (MaizeGDB_09082017)]
chr2	35512929	35515267	4.02003164989926	1.53405567994399e-10	MSTRG.14999	Zm00001d003202	GRMZM2G477632	Ribosomal protein L10 family protein	[source:homolog]
chr4	236769086	236771223	4.23900117264542	1.55798619769751e-10	MSTRG.33771	Zm00001d053619	GRMZM2G153871	Phenylalanine ammonia-lyase 1	[source:homolog]
chr2	174589103	174595166	-2.0560791423651104	1.56398205321774e-10	MSTRG.18042	Zm00001d005451	GRMZM2G028353	Cellulose synthase A catalytic subunit 5 [UDP-forming]	[source:homolog]
chr4	180314538	180316581	-4.22986906684415	1.6714585009548002e-10	MSTRG.31999	Zm00001d052120	AC185501.3_FG001		
chr10	139138414	139273042	2.2278123042772497	1.89113534948507e-10	MSTRG.12798	Zm00001d026127	GRMZM2G084491	Patched family protein	[source:homolog]
chr5	211742129	211742884	4.04666596340142	2.0607101486926702e-10	MSTRG.40481	Zm00001d018003	GRMZM5G812088		
chr8	47906293	47913252	6.069684821610401	2.07683526257586e-10	MSTRG.52014	Zm00001d009260	GRMZM2G102015	Dephospho-CoA kinase	[source:homolog]
chr10	28417922	28423182	3.3664638682759795	2.82374840560728e-10	MSTRG.9939	Zm00001d023923	AC203972.3_FG001	Disease resistance protein RPM1	[source:homolog]
chr3	136355886	136727063	7.42081934276183	3.0607411071578303e-10	MSTRG.23992	Zm00001d041763	GRMZM2G083130	Cytokinin-O-glucosyltransferase 2  	 [source: RefGen_v3] 
chr4	11356091	11364212	-2.05842056583439	3.61914850366862e-10	MSTRG.27943	Zm00001d048979	GRMZM2G008507	Putative sucrose-phosphate synthase family protein  	 [source: RefGen_v3] 
chr2	12745126	12841825	-2.20654984281413	3.61914850366862e-10	MSTRG.14394	Zm00001d002441	GRMZM2G313020	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
