chr_name	Start	End	delta_methylation
chr2	55874506	55874997	-0.23
chr2	56341046	56341448	-0.22
chr2	64376501	64377000	0.21
chr2	71572001	71572498	-0.31
chr2	81379502	81380000	0.22
chr2	85444505	85445000	-0.21
chr2	99848002	99848406	0.72
chr2	104166003	104166496	-0.29
chr2	105553001	105553498	-0.21
chr2	108282506	108283000	0.33
chr2	109304504	109304971	0.34
chr2	119013501	119013977	0.24
chr2	123132007	123132497	0.21
chr2	138448004	138448497	-0.24
chr2	140489003	140489499	-0.21
chr2	144431501	144431957	0.54
chr2	147657001	147657500	-0.26
chr2	147924004	147924500	0.3
chr2	148712001	148712496	0.24
chr2	148744002	148744497	-0.23
chr2	150598002	150598500	-0.21
chr2	153456506	153456994	-0.25
chr2	155350005	155350498	-0.25
chr2	163079002	163079500	-0.25
chr2	165639508	165639999	-0.32
chr2	168683003	168683499	0.24
chr2	171935005	171935394	0.6
chr2	175605511	175605994	-0.25
chr2	180916501	180916989	-0.26
chr2	183317503	183317998	-0.33
chr2	194265503	194265943	0.32
chr2	195305007	195305498	-0.32
chr2	199790004	199790492	-0.24
chr2	206473003	206473500	-0.24
chr2	214672505	214672993	-0.33
chr2	218333554	218333993	-0.24
chr2	225676001	225676497	0.21
chr2	228812505	228812998	-0.29
chr2	241250009	241250496	-0.21
chr3	376502	377000	-0.24
chr3	3863509	3863999	0.22
chr3	3921501	3921995	-0.33
chr3	10364001	10364464	-0.23
chr3	19706001	19706492	0.22
chr3	39886016	39886500	0.24
chr3	69168504	69168998	-0.23
chr3	124533020	124533497	-0.3
chr3	127999501	127999999	-0.23
chr3	128095010	128095497	0.21
chr3	133859001	133859472	-0.4
chr3	143861008	143861493	-0.23
chr3	149603502	149603999	0.24
chr3	154621011	154621496	0.22
chr3	158325004	158325499	0.33
chr3	158690501	158691000	-0.21
chr3	159223502	159223990	-0.4
chr3	159630508	159630997	0.21
chr3	161242503	161243000	-0.34
chr3	164106006	164106499	0.2
chr3	167045031	167045497	-0.26
chr3	168879002	168879420	-0.3
chr3	174543747	174543997	0.22
chr3	180840005	180840499	0.22
chr3	194802077	194802500	-0.35
chr3	197330003	197330500	-0.31
chr3	198230011	198230498	-0.23
chr3	207540508	207541000	0.25
chr4	8068508	8069000	-0.21
chr4	19984672	19984999	-0.21
chr4	22934505	22934999	0.22
chr4	25011504	25012000	0.21
chr4	45449006	45449499	-0.29
chr4	49838020	49838497	-0.27
chr4	57941502	57941999	0.21
chr4	65543018	65543500	-0.29
chr4	76528505	76528986	-0.2
chr4	143613503	143614000	-0.2
chr4	151064522	151064999	-0.22
chr4	177548507	177548997	0.21
chr4	182063552	182063996	0.22
chr4	185046505	185046968	-0.35
chr4	190540501	190541000	-0.32
chr4	191045501	191045997	0.29
chr4	193270506	193270973	-0.21
chr4	214451003	214451491	-0.23
chr4	230987501	230988000	-0.35
chr4	231056506	231057000	0.23
chr4	233833009	233833500	-0.25
chr4	234192504	234192999	-0.21
chr4	234539003	234539500	-0.23
chr5	702501	702991	0.2
chr5	1724004	1724484	-0.21
chr5	2354507	2354999	-0.25
chr5	3497502	3497996	-0.23
chr5	7244009	7244490	0.26
chr5	85281504	85282000	-0.22
chr5	135381503	135381979	-0.33
chr5	146559004	146559499	-0.28
chr5	178258001	178258500	-0.26
chr5	179017005	179017497	-0.24
chr5	179020002	179020497	-0.24
chr5	179264506	179264997	-0.21
chr5	183327501	183327993	-0.26
chr5	186476001	186476498	-0.21
chr5	187963502	187964000	0.29
chr5	189136503	189136998	0.2
chr5	189914502	189914999	0.2
chr5	190191001	190191497	-0.21
chr5	190289505	190290000	-0.23
chr5	193781505	193782000	-0.27
chr5	193874002	193874499	-0.26
chr5	195880507	195881000	-0.2
chr5	196958002	196958489	-0.2
chr5	197533503	197533992	-0.24
chr5	197645003	197645499	-0.25
chr5	198923503	198923996	-0.21
chr5	199889004	199889493	-0.23
chr5	204941004	204941499	-0.38
chr5	212791014	212791499	0.22
chr5	213446005	213446500	0.22
chr5	216476501	216477000	-0.34
chr6	663003	663493	-0.35
chr6	21094003	21094496	-0.21
chr6	35974511	35974986	-0.54
chr6	69360001	69360497	-0.22
chr6	81297501	81297961	0.27
chr6	136957026	136957496	0.58
chr6	145190505	145191000	-0.36
chr6	155351002	155351498	-0.3
chr6	162531003	162531499	-0.23
chr6	163076001	163076486	0.28
chr6	163282001	163282495	-0.28
chr6	164161532	164161995	-0.22
chr6	166768504	166768998	-0.21
chr6	166931504	166931997	-0.31
chr6	169159001	169159459	-0.22
chr7	2701504	2701990	0.26
chr7	2865007	2865499	0.23
chr7	5553025	5553499	-0.21
chr7	8734517	8734989	0.24
chr7	9544002	9544498	-0.21
chr7	10294516	10294994	0.3
chr7	12186507	12186992	0.75
chr7	12659001	12659500	0.25
chr7	13650505	13651000	-0.21
chr7	16200008	16200500	-0.21
chr7	16744507	16744998	-0.23
chr7	17760001	17760500	0.22
chr7	17792001	17792500	-0.32
chr7	22889507	22889996	-0.25
chr7	24099002	24099498	-0.31
chr7	24213005	24213500	-0.23
chr7	26816501	26817000	-0.22
chr7	42521090	42521499	-0.42
chr7	49646003	49646472	-0.26
chr7	80977002	80977478	-0.28
chr7	116451001	116451496	-0.24
chr7	122694058	122694498	-0.34
chr7	168231501	168231998	-0.43
chr7	178333501	178334000	-0.23
chr7	179240510	179241000	0.2
chr8	35632503	35632998	0.28
chr8	63876501	63877000	-0.24
chr8	68312518	68312996	-0.3
chr8	75353502	75353998	-0.47
chr8	77059002	77059494	0.23
chr8	96508501	96508993	-0.2
chr8	97338003	97338500	-0.21
chr8	116683006	116683491	-0.27
chr8	169140003	169140369	-0.37
chr9	15447503	15448000	-0.2
chr9	17206007	17206497	-0.35
chr9	46872502	46872998	-0.34
chr9	49457526	49458000	-0.21
chr9	49599502	49599997	0.27
chr9	97101501	97102000	-0.21
chr9	114323504	114324000	0.36
chr9	121320002	121320492	0.31
chr9	125431518	125431997	-0.26
chr9	143758030	143758499	0.24
B73V4_ctg150	1670507	1670999	0.23

